Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_omp_O1,0.000296,0.198803,0.199099,95.300956,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O1,0.000229,0.197552,0.197781,96.580510,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O1,0.343043,0.196568,0.539611,0.020510,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O1,0.342720,0.291613,0.634333,0.020527,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O1,0.365630,0.207841,0.573471,0.019286,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_omp_O1,0.000305,0.261650,0.261955,94.091426,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O1,0.000229,0.198846,0.199075,97.009620,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O1,0.342185,0.198272,0.540457,0.020559,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O1,0.343122,0.306624,0.649746,0.020503,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O1,0.366410,0.241270,0.607680,0.019236,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_omp_O1,0.000312,0.306303,0.306615,95.636500,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O1,0.000275,0.197325,0.197600,101.726178,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O1,0.342911,0.197755,0.540665,0.020515,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O1,0.343431,0.219681,0.563112,0.020485,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O1,0.366759,0.281881,0.648640,0.019225,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_omp_O1,0.000466,0.243803,0.244269,100.355271,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O1,0.000224,0.197075,0.197299,93.366496,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O1,0.343569,0.197331,0.540900,0.020477,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O1,0.343456,0.251771,0.595227,0.020483,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O1,0.362795,0.251967,0.614762,0.019420,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_omp_O2,0.000390,0.277465,0.277855,121.302125,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O2,0.000192,0.197054,0.197246,111.601224,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O2,0.342678,0.197374,0.540052,0.020530,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O2,0.342780,0.271092,0.613871,0.020527,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O2,0.369042,0.249744,0.618786,0.019098,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_omp_O2,0.000324,0.294636,0.294960,113.858016,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O2,0.000265,0.199043,0.199308,96.186705,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O2,0.345237,0.198000,0.543237,0.020380,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O2,0.341444,0.250914,0.592358,0.020604,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O2,0.366431,0.242355,0.608786,0.019257,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_omp_O2,0.000412,0.303399,0.303811,115.414762,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O2,0.000254,0.197410,0.197664,109.098331,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O2,0.342433,0.198750,0.541183,0.020548,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O2,0.342230,0.243451,0.585681,0.020557,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O2,0.364849,0.234729,0.599578,0.019325,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_omp_O2,0.000287,0.205218,0.205505,111.754789,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O2,0.000261,0.197138,0.197400,120.076761,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O2,0.342368,0.197825,0.540193,0.020549,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O2,0.342683,0.237695,0.580378,0.020533,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O2,0.366458,0.240326,0.606784,0.019250,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_omp_O3,0.000270,0.284332,0.284602,112.602841,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O3,0.000186,0.197798,0.197984,111.393377,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O3,0.345542,0.197704,0.543246,0.020358,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O3,0.346457,0.285049,0.631506,0.020309,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O3,0.362777,0.311268,0.674045,0.019422,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_omp_O3,0.000239,0.302433,0.302672,108.770148,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O3,0.000214,0.199459,0.199673,97.374860,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O3,0.346280,0.197380,0.543660,0.020318,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O3,0.346190,0.213428,0.559618,0.020322,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O3,0.365493,0.236657,0.602151,0.019280,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_omp_O3,0.000325,0.311715,0.312040,109.882300,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O3,0.000201,0.199389,0.199590,110.446506,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O3,0.345730,0.197994,0.543724,0.020348,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O3,0.346279,0.234024,0.580303,0.020319,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O3,0.364687,0.220427,0.585114,0.019330,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_omp_O3,0.000340,0.230972,0.231312,111.313580,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O3,0.000208,0.198106,0.198314,109.478086,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O3,0.342335,0.197927,0.540262,0.020549,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O3,0.346572,0.248920,0.595492,0.020302,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O3,0.363552,0.214548,0.578099,0.019387,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
