Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_omp_O1,0.000095,0.048895,0.048990,160.465516,0,100,1,1,16,8,8388608,512,512,262144,512,512,0,0
coo_omp_collapse_O1,0.000208,0.048701,0.048909,93.317268,0,100,1,1,16,8,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_O1,0.000778,0.048739,0.049517,12.016672,0,100,1,1,16,8,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_collapse_O1,0.000717,0.050213,0.050930,12.674641,0,100,1,1,16,8,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_omp_O1,0.001538,0.048136,0.049674,5.590839,0,100,1,1,16,8,8388608,512,512,262144,512,512,0,0
coo_omp_O1,0.000092,0.049701,0.049793,169.322044,0,100,1,1,16,16,8388608,512,512,262144,512,512,0,0
coo_omp_collapse_O1,0.000175,0.050167,0.050342,77.612698,0,100,1,1,16,16,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_O1,0.000777,0.052483,0.053260,11.782331,0,100,1,1,16,16,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_collapse_O1,0.000687,0.048850,0.049537,13.164856,0,100,1,1,16,16,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_omp_O1,0.001496,0.048896,0.050391,5.760970,0,100,1,1,16,16,8388608,512,512,262144,512,512,0,0
coo_omp_O1,0.000098,0.048988,0.049086,157.619025,0,100,1,1,16,32,8388608,512,512,262144,512,512,0,0
coo_omp_collapse_O1,0.000197,0.049596,0.049793,102.754941,0,100,1,1,16,32,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_O1,0.000736,0.057298,0.058034,12.582772,0,100,1,1,16,32,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_collapse_O1,0.000683,0.050679,0.051361,13.599207,0,100,1,1,16,32,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_omp_O1,0.001472,0.048695,0.050167,5.904114,0,100,1,1,16,32,8388608,512,512,262144,512,512,0,0
coo_omp_O1,0.000101,0.048672,0.048773,156.391388,0,100,1,1,16,64,8388608,512,512,262144,512,512,0,0
coo_omp_collapse_O1,0.000154,0.049738,0.049892,143.089847,0,100,1,1,16,64,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_O1,0.000699,0.051446,0.052145,12.932604,0,100,1,1,16,64,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_collapse_O1,0.000667,0.051440,0.052107,13.508444,0,100,1,1,16,64,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_omp_O1,0.001460,0.049596,0.051056,5.897981,0,100,1,1,16,64,8388608,512,512,262144,512,512,0,0
coo_omp_O2,0.000090,0.049412,0.049502,172.942280,0,100,1,1,16,8,8388608,512,512,262144,512,512,0,0
coo_omp_collapse_O2,0.000124,0.052384,0.052508,127.759385,0,100,1,1,16,8,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_O2,0.000656,0.055706,0.056362,13.643796,0,100,1,1,16,8,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_collapse_O2,0.000805,0.051571,0.052376,12.245924,0,100,1,1,16,8,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_omp_O2,0.001577,0.048893,0.050470,5.667117,0,100,1,1,16,8,8388608,512,512,262144,512,512,0,0
coo_omp_O2,0.000099,0.048846,0.048945,156.068669,0,100,1,1,16,16,8388608,512,512,262144,512,512,0,0
coo_omp_collapse_O2,0.000223,0.050615,0.050838,83.174766,0,100,1,1,16,16,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_O2,0.001594,0.100616,0.102210,8.092881,0,100,1,1,16,16,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_collapse_O2,0.000858,0.061789,0.062647,10.796535,0,100,1,1,16,16,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_omp_O2,0.001501,0.050390,0.051891,5.769537,0,100,1,1,16,16,8388608,512,512,262144,512,512,0,0
coo_omp_O2,0.000096,0.049368,0.049464,163.372832,0,100,1,1,16,32,8388608,512,512,262144,512,512,0,0
coo_omp_collapse_O2,0.000141,0.052339,0.052480,85.503036,0,100,1,1,16,32,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_O2,0.000811,0.058140,0.058951,12.084915,0,100,1,1,16,32,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_collapse_O2,0.000770,0.054369,0.055139,12.611709,0,100,1,1,16,32,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_omp_O2,0.001525,0.049765,0.051290,5.726995,0,100,1,1,16,32,8388608,512,512,262144,512,512,0,0
coo_omp_O2,0.000098,0.049218,0.049316,154.151345,0,100,1,1,16,64,8388608,512,512,262144,512,512,0,0
coo_omp_collapse_O2,0.000116,0.053132,0.053248,126.197607,0,100,1,1,16,64,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_O2,0.000868,0.052683,0.053551,10.897020,0,100,1,1,16,64,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_collapse_O2,0.000729,0.054328,0.055057,12.770288,0,100,1,1,16,64,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_omp_O2,0.001511,0.048932,0.050443,5.709378,0,100,1,1,16,64,8388608,512,512,262144,512,512,0,0
coo_omp_O3,0.000092,0.049719,0.049811,174.088164,0,100,1,1,16,8,8388608,512,512,262144,512,512,0,0
coo_omp_collapse_O3,0.000239,0.052827,0.053067,71.909327,0,100,1,1,16,8,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_O3,0.000808,0.058798,0.059606,12.344309,0,100,1,1,16,8,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_collapse_O3,0.000816,0.056762,0.057578,11.930176,0,100,1,1,16,8,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_omp_O3,0.001532,0.049759,0.051291,5.670346,0,100,1,1,16,8,8388608,512,512,262144,512,512,0,0
coo_omp_O3,0.000098,0.051094,0.051192,169.861349,0,100,1,1,16,16,8388608,512,512,262144,512,512,0,0
coo_omp_collapse_O3,0.000163,0.052725,0.052888,72.572355,0,100,1,1,16,16,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_O3,0.000894,0.062320,0.063214,10.538812,0,100,1,1,16,16,8388608,512,512,262144,512,512,0,0
coo_transpose_omp_collapse_O3,0.000695,0.049014,0.049709,13.114165,0,100,1,1,16,16,8388608,512,512,262144,512,512,0,0
