Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
ell_omp_O1,0.000414,0.028082,0.028496,72.000634,0,100,1,1,16,8,16777216,1024,1024,8192,8,8,0,0
ell_omp_collapse_O1,0.000413,0.027422,0.027835,67.224761,0,100,1,1,16,8,16777216,1024,1024,8192,8,8,0,0
ell_transpose_omp_O1,0.002861,0.018825,0.021686,6.371314,0,100,1,1,16,8,16777216,1024,1024,8192,8,8,0,0
ell_transpose_omp_collapse_O1,0.002538,0.006921,0.009459,6.809652,0,100,1,1,16,8,16777216,1024,1024,8192,8,8,0,0
ell_transpose_omp_omp_O1,0.001075,0.003792,0.004867,15.729830,0,100,1,1,16,8,16777216,1024,1024,8192,8,8,0,0
ell_omp_O1,0.000120,0.028188,0.028308,301.042032,0,100,1,1,16,16,16777216,1024,1024,8192,8,8,0,0
ell_omp_collapse_O1,0.000247,0.010275,0.010522,106.738770,0,100,1,1,16,16,16777216,1024,1024,8192,8,8,0,0
ell_transpose_omp_O1,0.002552,0.008397,0.010949,6.790936,0,100,1,1,16,16,16777216,1024,1024,8192,8,8,0,0
ell_transpose_omp_collapse_O1,0.002340,0.003862,0.006202,7.255564,0,100,1,1,16,16,16777216,1024,1024,8192,8,8,0,0
ell_transpose_omp_omp_O1,0.002056,0.006699,0.008755,8.811321,0,100,1,1,16,16,16777216,1024,1024,8192,8,8,0,0
ell_omp_O1,0.000279,0.006583,0.006862,107.228598,0,100,1,1,16,32,16777216,1024,1024,8192,8,8,0,0
ell_omp_collapse_O1,0.000249,0.006656,0.006906,108.546221,0,100,1,1,16,32,16777216,1024,1024,8192,8,8,0,0
ell_transpose_omp_O1,0.002381,0.006047,0.008428,7.231495,0,100,1,1,16,32,16777216,1024,1024,8192,8,8,0,0
ell_transpose_omp_collapse_O1,0.002867,0.030495,0.033362,6.595030,0,100,1,1,16,32,16777216,1024,1024,8192,8,8,0,0
ell_transpose_omp_omp_O1,0.003125,0.003947,0.007072,5.391568,0,100,1,1,16,32,16777216,1024,1024,8192,8,8,0,0
ell_omp_O1,0.000301,0.003779,0.004080,155.944497,0,100,1,1,16,64,16777216,1024,1024,8192,8,8,0,0
ell_omp_collapse_O1,0.000274,0.004039,0.004313,204.283844,0,100,1,1,16,64,16777216,1024,1024,8192,8,8,0,0
ell_transpose_omp_O1,0.002759,0.013142,0.015901,6.648367,0,100,1,1,16,64,16777216,1024,1024,8192,8,8,0,0
ell_transpose_omp_collapse_O1,0.002279,0.003757,0.006036,7.503914,0,100,1,1,16,64,16777216,1024,1024,8192,8,8,0,0
ell_transpose_omp_omp_O1,0.006440,0.003726,0.010166,2.699682,0,100,1,1,16,64,16777216,1024,1024,8192,8,8,0,0
ell_omp_O2,0.000083,0.003860,0.003943,246.947653,0,100,1,1,16,8,16777216,1024,1024,8192,8,8,0,0
ell_omp_collapse_O2,0.000086,0.004282,0.004368,241.233311,0,100,1,1,16,8,16777216,1024,1024,8192,8,8,0,0
ell_transpose_omp_O2,0.002472,0.006136,0.008608,6.897645,0,100,1,1,16,8,16777216,1024,1024,8192,8,8,0,0
ell_transpose_omp_collapse_O2,0.002901,0.039283,0.042184,6.487557,0,100,1,1,16,8,16777216,1024,1024,8192,8,8,0,0
ell_transpose_omp_omp_O2,0.001261,0.031349,0.032610,14.262952,0,100,1,1,16,8,16777216,1024,1024,8192,8,8,0,0
