Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O1,0.058138,23.939281,23.997419,1.307275,0,100,1,1,16,-1,75968032,46835,46835,2374001,145,50,772,27
csr_serial_O1,0.081454,23.576202,23.657656,2730.562781,0,100,1,1,16,-1,222372673670,46835,46835,2374001,145,50,772,27
ell_serial_O1,0.172267,24.271460,24.443727,3692.892335,0,100,1,1,16,-1,636119995250,46835,46835,2374001,145,50,772,27
bcsr_serial_O1,0.099095,213.492342,213.591437,2244.417155,0,100,1,1,16,-1,222372673670,46835,46835,2374001,145,50,772,27
bell_serial_O1,0.059207,24.234537,24.293744,1.283389,1703782,100,1,1,16,-1,75968032,46835,46835,2374001,145,50,772,27
bcsr_serial_O1,0.110929,213.261713,213.372641,2589.375724,0,100,2,2,16,-1,287196716160,46835,46835,2374001,145,50,772,27
bell_serial_O1,0.062705,24.251711,24.314416,1.211702,1703782,100,2,2,16,-1,75968032,46835,46835,2374001,145,50,772,27
bcsr_serial_O1,0.128248,216.360295,216.488543,3171.496034,0,100,4,4,16,-1,406688163040,46835,46835,2374001,145,50,772,27
bell_serial_O1,0.067886,24.275571,24.343457,1.119218,1703782,100,4,4,16,-1,75968032,46835,46835,2374001,145,50,772,27
bcsr_serial_O1,0.242429,209.631694,209.874123,3950.610129,0,100,16,16,16,-1,957694069760,46835,46835,2374001,145,50,772,27
bell_serial_O1,0.075084,24.281820,24.356904,1.012020,1703782,100,16,16,16,-1,75968032,46835,46835,2374001,145,50,772,27
coo_serial_O2,0.060399,23.573928,23.634327,1.257987,0,100,1,1,16,-1,75968032,46835,46835,2374001,145,50,772,27
csr_serial_O2,0.068846,23.797332,23.866178,3230.572675,0,100,1,1,16,-1,222372673670,46835,46835,2374001,145,50,772,27
ell_serial_O2,0.124003,23.999372,24.123375,5130.391828,0,100,1,1,16,-1,636119995250,46835,46835,2374001,145,50,772,27
bcsr_serial_O2,0.071835,201.544010,201.615844,3096.663929,0,100,1,1,16,-1,222372673670,46835,46835,2374001,145,50,772,27
bell_serial_O2,0.060677,23.987076,24.047753,1.252467,1703782,100,1,1,16,-1,75968032,46835,46835,2374001,145,50,772,27
bcsr_serial_O2,0.079235,201.168455,201.247690,3625.861188,0,100,2,2,16,-1,287196716160,46835,46835,2374001,145,50,772,27
bell_serial_O2,0.064448,23.994812,24.059260,1.179233,1703782,100,2,2,16,-1,75968032,46835,46835,2374001,145,50,772,27
bcsr_serial_O2,0.090503,203.108385,203.198888,4494.232082,0,100,4,4,16,-1,406688163040,46835,46835,2374001,145,50,772,27
bell_serial_O2,0.069441,24.235017,24.304458,1.094137,1703782,100,4,4,16,-1,75968032,46835,46835,2374001,145,50,772,27
bcsr_serial_O2,0.167028,199.597085,199.764113,5734.305157,0,100,16,16,16,-1,957694069760,46835,46835,2374001,145,50,772,27
bell_serial_O2,0.076460,23.969360,24.045820,0.993701,1703782,100,16,16,16,-1,75968032,46835,46835,2374001,145,50,772,27
coo_serial_O3,0.060027,23.815407,23.875434,1.265905,0,100,1,1,16,-1,75968032,46835,46835,2374001,145,50,772,27
csr_serial_O3,0.068822,23.584413,23.653235,3232.412912,0,100,1,1,16,-1,222372673670,46835,46835,2374001,145,50,772,27
ell_serial_O3,0.123230,24.288894,24.412124,5182.001068,0,100,1,1,16,-1,636119995250,46835,46835,2374001,145,50,772,27
bcsr_serial_O3,0.070238,204.669723,204.739961,3166.852408,0,100,1,1,16,-1,222372673670,46835,46835,2374001,145,50,772,27
bell_serial_O3,0.060324,24.258157,24.318481,1.259622,1703782,100,1,1,16,-1,75968032,46835,46835,2374001,145,50,772,27
bcsr_serial_O3,0.072839,200.360767,200.433606,3943.296446,0,100,2,2,16,-1,287196716160,46835,46835,2374001,145,50,772,27
bell_serial_O3,0.063834,24.049902,24.113736,1.190219,1703782,100,2,2,16,-1,75968032,46835,46835,2374001,145,50,772,27
bcsr_serial_O3,0.086440,202.925949,203.012389,4705.947802,0,100,4,4,16,-1,406688163040,46835,46835,2374001,145,50,772,27
bell_serial_O3,0.069245,24.067256,24.136501,1.097288,1703782,100,4,4,16,-1,75968032,46835,46835,2374001,145,50,772,27
bcsr_serial_O3,0.149695,198.497700,198.647395,6398.200247,0,100,16,16,16,-1,957694069760,46835,46835,2374001,145,50,772,27
bell_serial_O3,0.076023,24.088207,24.164230,0.999436,1703782,100,16,16,16,-1,75968032,46835,46835,2374001,145,50,772,27
