Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_omp_O1,0.000555,0.032831,0.033386,8.232832,0,100,1,1,16,8,2097152,512,512,65536,128,128,0,0
coo_omp_collapse_O1,0.000514,0.025158,0.025672,9.534830,0,100,1,1,16,8,2097152,512,512,65536,128,128,0,0
coo_transpose_omp_O1,0.002681,0.024909,0.027590,0.818773,0,100,1,1,16,8,2097152,512,512,65536,128,128,0,0
coo_transpose_omp_collapse_O1,0.005277,0.028817,0.034094,0.412779,0,100,1,1,16,8,2097152,512,512,65536,128,128,0,0
coo_transpose_omp_omp_O1,0.012517,0.029950,0.042467,0.170270,0,100,1,1,16,8,2097152,512,512,65536,128,128,0,0
coo_omp_O1,0.000557,0.030181,0.030738,8.039883,0,100,1,1,16,16,2097152,512,512,65536,128,128,0,0
coo_omp_collapse_O1,0.000617,0.025107,0.025724,8.238897,0,100,1,1,16,16,2097152,512,512,65536,128,128,0,0
coo_transpose_omp_O1,0.002877,0.025010,0.027888,0.803760,0,100,1,1,16,16,2097152,512,512,65536,128,128,0,0
coo_transpose_omp_collapse_O1,0.005386,0.029876,0.035262,0.410020,0,100,1,1,16,16,2097152,512,512,65536,128,128,0,0
coo_transpose_omp_omp_O1,0.012089,0.028908,0.040997,0.177249,0,100,1,1,16,16,2097152,512,512,65536,128,128,0,0
coo_omp_O1,0.000436,0.030223,0.030659,8.609758,0,100,1,1,16,32,2097152,512,512,65536,128,128,0,0
coo_omp_collapse_O1,0.000514,0.025001,0.025515,9.644417,0,100,1,1,16,32,2097152,512,512,65536,128,128,0,0
coo_transpose_omp_O1,0.003078,0.025101,0.028179,0.780159,0,100,1,1,16,32,2097152,512,512,65536,128,128,0,0
coo_transpose_omp_collapse_O1,0.002898,0.029938,0.032836,0.800111,0,100,1,1,16,32,2097152,512,512,65536,128,128,0,0
coo_transpose_omp_omp_O1,0.012545,0.029963,0.042508,0.169495,0,100,1,1,16,32,2097152,512,512,65536,128,128,0,0
coo_omp_O1,0.000535,0.029515,0.030050,8.655082,0,100,1,1,16,64,2097152,512,512,65536,128,128,0,0
coo_omp_collapse_O1,0.000504,0.025372,0.025876,8.481194,0,100,1,1,16,64,2097152,512,512,65536,128,128,0,0
coo_transpose_omp_O1,0.002885,0.025228,0.028113,0.802800,0,100,1,1,16,64,2097152,512,512,65536,128,128,0,0
coo_transpose_omp_collapse_O1,0.002879,0.029398,0.032277,0.806023,0,100,1,1,16,64,2097152,512,512,65536,128,128,0,0
coo_transpose_omp_omp_O1,0.012403,0.029136,0.041539,0.171155,0,100,1,1,16,64,2097152,512,512,65536,128,128,0,0
coo_omp_O2,0.000434,0.029897,0.030331,9.580873,0,100,1,1,16,8,2097152,512,512,65536,128,128,0,0
coo_omp_collapse_O2,0.000562,0.025303,0.025865,7.751518,0,100,1,1,16,8,2097152,512,512,65536,128,128,0,0
coo_transpose_omp_O2,0.002864,0.025223,0.028087,0.804731,0,100,1,1,16,8,2097152,512,512,65536,128,128,0,0
coo_transpose_omp_collapse_O2,0.002732,0.029826,0.032558,0.836353,0,100,1,1,16,8,2097152,512,512,65536,128,128,0,0
coo_transpose_omp_omp_O2,0.012652,0.030934,0.043586,0.167431,0,100,1,1,16,8,2097152,512,512,65536,128,128,0,0
