Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_omp_O1,0.002282,1.373361,1.375643,12.337614,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O1,0.001254,1.448097,1.449351,13.746609,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O1,1.992518,1.374162,3.366680,0.003533,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O1,2.778160,1.434704,4.212864,0.002679,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O1,0.415636,2.623209,3.038845,0.017611,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_omp_O1,0.032378,2.246447,2.278825,0.430542,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O1,0.030315,2.504507,2.534822,0.367840,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O1,3.121190,2.577268,5.698458,0.002309,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O1,3.067352,2.760470,5.827822,0.002359,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O1,0.414836,2.152287,2.567123,0.017555,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_omp_O1,0.030670,2.838768,2.869438,0.479413,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O1,0.034013,2.432066,2.466079,0.325639,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O1,3.084454,2.880532,5.964986,0.002343,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O1,3.176767,2.339030,5.515797,0.002264,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O1,0.412866,1.857033,2.269899,0.017605,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_omp_O1,0.030937,2.385647,2.416584,0.440852,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O1,0.033010,3.259925,3.292935,0.426379,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O1,3.011767,2.081026,5.092793,0.002388,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O1,3.147772,2.692928,5.840700,0.002270,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O1,0.409632,2.558078,2.967710,0.017797,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_omp_O2,0.034885,2.524206,2.559091,0.656897,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O2,0.030313,2.413826,2.444139,0.434250,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O2,3.015136,2.767990,5.783125,0.002388,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O2,3.076632,2.867362,5.943994,0.002334,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O2,0.403984,2.600568,3.004552,0.017922,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_omp_O2,0.033054,3.534728,3.567782,0.384692,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O2,0.032107,2.679585,2.711692,0.465180,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O2,3.064315,3.026096,6.090411,0.002347,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O2,3.083603,2.176932,5.260535,0.002340,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O2,0.429604,2.713653,3.143258,0.016910,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_omp_O2,0.028297,2.611455,2.639752,0.719791,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O2,0.030522,2.571096,2.601618,0.444643,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O2,3.150057,2.455422,5.605479,0.002301,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O2,2.964307,1.506012,4.470319,0.002417,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O2,0.404576,2.650849,3.055425,0.017896,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_omp_O2,0.030751,1.925290,1.956041,0.656251,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O2,0.032053,2.650352,2.682405,0.509486,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O2,3.008900,3.008463,6.017363,0.002390,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O2,2.946223,2.431063,5.377286,0.002431,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O2,0.403770,2.023050,2.426820,0.018001,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_omp_O3,0.029985,1.843437,1.873422,0.445127,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O3,0.031349,1.787760,1.819109,0.329968,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O3,3.011887,3.210478,6.222365,0.002384,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O3,3.041639,2.100784,5.142423,0.002364,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O3,0.418496,1.863343,2.281839,0.017492,0,100,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
coo_omp_O3,0.028623,1.912637,1.941260,0.525142,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O3,0.031404,2.306168,2.337572,0.329090,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O3,3.109540,2.256439,5.365979,0.002314,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O3,3.095170,2.758519,5.853689,0.002318,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O3,0.414426,2.495333,2.909759,0.017626,0,100,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
coo_omp_O3,0.030739,2.531422,2.562161,0.413988,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O3,0.029130,2.225090,2.254220,0.516830,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O3,3.077736,1.750639,4.828375,0.002340,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O3,2.934534,2.543218,5.477752,0.002453,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O3,0.412492,1.740493,2.152985,0.017602,0,100,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo_omp_O3,0.036146,2.738868,2.775014,0.277558,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_omp_collapse_O3,0.034035,2.056896,2.090931,0.414734,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_O3,3.015314,2.422115,5.437429,0.002392,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_collapse_O3,2.243848,2.384803,4.628651,0.003329,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
coo_transpose_omp_omp_O3,0.150284,1.464876,1.615160,0.047524,0,100,1,1,16,64,7033984,10974,10974,219812,108,20,79,8
