Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsr_omp_O2,0.002042,7.504394,7.506436,10761.993383,0,10,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp_collapse_O2,1.792241,7.457789,9.250030,2.692776,0,10,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,0.359482,7.488554,7.848036,13.438159,0,10,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_collapse_O2,2.231959,7.489066,9.721025,2.161555,0,10,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.101382,7.438581,7.539963,49.495981,0,10,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp_O2,0.002328,7.432718,7.435046,17858.113824,0,10,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp_collapse_O2,0.897126,7.397801,8.294927,5.387580,0,10,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,0.357014,7.469044,7.826058,13.525597,0,10,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_collapse_O2,1.355971,7.486627,8.842598,3.558235,0,10,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.137410,7.480915,7.618325,35.451371,0,10,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp_O2,0.002118,7.428420,7.430538,30662.614693,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp_collapse_O2,0.457890,7.405526,7.863415,10.591490,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,0.357043,7.518402,7.875445,13.519775,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_collapse_O2,0.922824,7.521938,8.444762,5.228624,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.211456,7.424948,7.636404,23.122081,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp_O2,0.001707,7.324800,7.326507,13935.262867,0,10,2,2,16,8,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp_collapse_O2,1.101378,7.440724,8.542102,5.222678,0,10,2,2,16,8,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,0.359359,7.457243,7.816602,15.998119,0,10,2,2,16,8,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_collapse_O2,1.537988,7.409580,8.947568,3.736289,0,10,2,2,16,8,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.101772,7.412894,7.514666,58.644229,0,10,2,2,16,8,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp_O2,0.002318,7.368323,7.370640,18728.959937,0,10,2,2,16,16,5745898608,10974,10974,219812,108,20,79,8
