Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsr_transpose_omp_O2,41.985835,279.099605,321.085440,6.054637,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_collapse_O2,138.234440,279.913767,418.148207,1.838840,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_omp_O2,6.883214,280.234277,287.117491,36.980655,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_O2,41.994126,280.837771,322.831897,6.053357,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_collapse_O2,91.732517,278.709802,370.442319,2.770735,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_omp_O2,4.140333,278.002813,282.143146,61.569802,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_O2,43.686668,279.261318,322.947986,5.818311,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_collapse_O2,68.378067,285.422330,353.800397,3.719737,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_omp_O2,3.698188,285.183950,288.882138,68.728635,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_O2,43.331875,283.847132,327.179007,7.901542,0,10,2,2,16,8,342384859656,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_collapse_O2,107.038121,286.520058,393.558179,3.199372,0,10,2,2,16,8,342384859656,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_omp_O2,7.554966,284.643853,292.198819,45.425220,0,10,2,2,16,8,342384859656,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_O2,42.610889,286.912127,329.523016,8.038943,0,10,2,2,16,16,342384859656,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_collapse_O2,74.535512,285.435099,359.970612,4.595952,0,10,2,2,16,16,342384859656,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_omp_O2,4.239234,285.165675,289.404909,80.880352,0,10,2,2,16,16,342384859656,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_O2,43.151036,285.163943,328.314979,7.944604,0,10,2,2,16,32,342384859656,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_collapse_O2,57.915115,285.189285,343.104400,5.911950,0,10,2,2,16,32,342384859656,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_omp_O2,3.683057,283.639411,287.322467,92.964155,0,10,2,2,16,32,342384859656,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_O2,42.662792,283.818556,326.481348,11.223733,0,10,4,4,16,8,478122857568,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_collapse_O2,87.154005,282.886171,370.040176,5.485992,0,10,4,4,16,8,478122857568,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_omp_O2,7.676015,284.017047,291.693062,62.320635,0,10,4,4,16,8,478122857568,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_O2,41.793384,283.077688,324.871072,11.440964,0,10,4,4,16,16,478122857568,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_collapse_O2,64.728091,283.241557,347.969648,7.386794,0,10,4,4,16,16,478122857568,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_omp_O2,4.256448,283.039606,287.296054,112.428809,0,10,4,4,16,16,478122857568,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_O2,43.010439,283.548248,326.558687,11.119661,0,10,4,4,16,32,478122857568,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_collapse_O2,54.883555,283.414211,338.297766,8.713728,0,10,4,4,16,32,478122857568,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_omp_O2,3.691111,283.185550,286.876661,129.535055,0,10,4,4,16,32,478122857568,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_O2,bcsr_transpose_omp_collapse_O2,bcsr_transpose_omp_omp_O2,bcsr_transpose_omp_O2,bcsr_transpose_omp_collapse_O2,bcsr_transpose_omp_omp_O2,bcsr_transpose_omp_O2,bcsr_transpose_omp_collapse_O2,bcsr_transpose_omp_omp_O2,
