Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsr_omp_O2,0.012079,108.783896,108.795975,38446.460976,0,10,1,1,16,8,159549504894,36417,36417,2190591,184,60,753,27
bcsr_omp_collapse_O2,58.682067,109.559401,168.241468,2.718928,0,10,1,1,16,8,159549504894,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_O2,10.678359,109.540038,120.218397,14.952167,0,10,1,1,16,8,159549504894,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_collapse_O2,69.368659,109.6842,179.052859,2.300059,0,10,1,1,16,8,159549504894,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_omp_O2,1.721916,109.613312,111.335228,92.790716,0,10,1,1,16,8,159549504894,36417,36417,2190591,184,60,753,27
bcsr_omp_O2,0.009004,109.333379,109.342383,82155.002435,0,10,1,1,16,16,159549504894,36417,36417,2190591,184,60,753,27
bcsr_omp_collapse_O2,29.344857,109.621059,138.965916,5.437073,0,10,1,1,16,16,159549504894,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_O2,10.72987,109.813683,120.543553,14.870726,0,10,1,1,16,16,159549504894,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_collapse_O2,40.357404,109.314438,149.671842,3.95351,0,10,1,1,16,16,159549504894,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_omp_O2,1.176123,109.349646,110.525769,135.826688,0,10,1,1,16,16,159549504894,36417,36417,2190591,184,60,753,27
bcsr_omp_O2,0.009089,109.446642,109.455731,109492.229712,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
bcsr_omp_collapse_O2,14.629721,109.092125,123.721846,10.906795,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_O2,11.073079,106.834375,117.907454,14.409739,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_collapse_O2,25.627486,106.845384,132.47287,6.225845,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_omp_O2,1.220742,106.86812,108.088862,130.801434,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
bcsr_omp_O2,0.007804,105.874006,105.88181,52204.066289,0,10,2,2,16,8,186933413712,36417,36417,2190591,184,60,753,27
bcsr_omp_collapse_O2,34.544384,106.255442,140.799826,5.411434,0,10,2,2,16,8,186933413712,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_O2,10.705729,106.271958,116.977687,17.464213,0,10,2,2,16,8,186933413712,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_collapse_O2,45.701906,106.980334,152.68224,4.090515,0,10,2,2,16,8,186933413712,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_omp_O2,1.659214,105.513555,107.172769,112.943141,0,10,2,2,16,8,186933413712,36417,36417,2190591,184,60,753,27
bcsr_omp_O2,0.009528,105.380169,105.389697,82147.016572,0,10,2,2,16,16,186933413712,36417,36417,2190591,184,60,753,27
bcsr_omp_collapse_O2,17.369073,105.390695,122.759768,10.762499,0,10,2,2,16,16,186933413712,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_O2,11.069386,106.008524,117.07791,16.889149,0,10,2,2,16,16,186933413712,36417,36417,2190591,184,60,753,27
