Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_serial_O3,0.001225,0.305324,0.306549,5.765179,0,10,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
csr_serial_O3,0.001381,0.312021,0.313402,3514.825466,0,10,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
ell_serial_O3,0.007011,0.345492,0.352503,3715.229160,0,10,1,1,16,-1,26012594016,10974,10974,219812,108,20,79,8
bcsr_serial_O3,0.002336,7.399040,7.401376,2068.286386,0,10,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
bell_serial_O3,0.001274,0.333489,0.334763,5.546529,113065,10,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsr_serial_O3,0.002096,7.293680,7.295776,2746.162441,0,10,2,2,16,-1,5745898608,10974,10974,219812,108,20,79,8
bell_serial_O3,0.001388,0.354200,0.355588,5.114347,113065,10,2,2,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsr_serial_O3,0.002678,7.439090,7.441768,3163.219254,0,10,4,4,16,-1,8464553472,10974,10974,219812,108,20,79,8
bell_serial_O3,0.001489,0.322091,0.323580,4.759971,113065,10,4,4,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsr_serial_O3,0.006251,7.423819,7.430070,3803.363383,0,10,16,16,16,-1,23744575488,10974,10974,219812,108,20,79,8
bell_serial_O3,0.001690,0.341911,0.343601,4.192987,113065,10,16,16,16,-1,7033984,10974,10974,219812,108,20,79,8
