Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bell_omp_O3,0.030660,5.478555,5.509215,2.134972,1510685,10,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,49.068861,5.609287,54.678148,0.001327,1510685,10,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.023938,5.702513,5.726451,2.918918,1510685,10,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,24.631669,5.618415,30.250084,0.002644,1510685,10,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.019151,5.612749,5.631900,3.826707,1510685,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,12.423063,5.599845,18.022908,0.005242,1510685,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.030968,5.612686,5.643654,2.122249,1510685,10,2,2,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,45.704745,5.633694,51.338439,0.001425,1510685,10,2,2,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.023944,5.616949,5.640893,2.861230,1510685,10,2,2,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,22.916711,5.625547,28.542258,0.002842,1510685,10,2,2,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.020898,5.522548,5.543446,3.479796,1510685,10,2,2,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,11.572873,5.518915,17.091788,0.005627,1510685,10,2,2,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.031978,5.538593,5.570571,2.074976,1510685,10,4,4,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,47.169778,5.574121,52.743899,0.001381,1510685,10,4,4,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.024964,5.531414,5.556378,2.723538,1510685,10,4,4,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,23.773634,5.557009,29.330643,0.002739,1510685,10,4,4,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.020932,5.552470,5.573402,3.493181,1510685,10,4,4,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,11.991029,5.527409,17.518438,0.005431,1510685,10,4,4,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.032292,5.536297,5.568589,2.067481,1510685,10,16,16,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,51.327452,5.596180,56.923632,0.001269,1510685,10,16,16,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.023701,5.557688,5.581389,2.942581,1510685,10,16,16,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,26.168168,5.556209,31.724377,0.002489,1510685,10,16,16,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O3,0.021904,5.519828,5.541733,3.247895,1510685,10,16,16,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_omp_collapse_O3,13.683585,5.581989,19.265574,0.004759,1510685,10,16,16,16,32,65117344,62451,62451,2034917,40,32,54,7
