Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bell_transpose_omp_O2,77.785421,41.367989,119.153410,0.000844,1510685,10,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_collapse_O2,215.937689,44.142567,260.080256,0.000302,1510685,10,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_omp_O2,16.692189,41.236577,57.928766,0.003994,1510685,10,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_O2,77.695166,41.507298,119.202464,0.000842,1510685,10,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_collapse_O2,151.870643,44.205394,196.076037,0.000430,1510685,10,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_omp_O2,11.758038,42.866507,54.624545,0.005630,1510685,10,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_O2,78.403318,42.364653,120.767971,0.000834,1510685,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_collapse_O2,115.455153,41.230653,156.685806,0.000565,1510685,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_omp_O2,8.830039,42.498314,51.328353,0.007437,1510685,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_O2,77.765023,42.201394,119.966417,0.000842,1510685,10,2,2,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_collapse_O2,223.647570,44.197863,267.845433,0.000292,1510685,10,2,2,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_omp_O2,16.566485,42.877953,59.444438,0.004008,1510685,10,2,2,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_O2,78.384289,41.633458,120.017747,0.000835,1510685,10,2,2,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_collapse_O2,150.537103,42.007175,192.544278,0.000433,1510685,10,2,2,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_omp_O2,11.894498,41.897263,53.791761,0.005550,1510685,10,2,2,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_O2,76.257693,41.306160,117.563853,0.000858,1510685,10,2,2,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_collapse_O2,116.542346,41.201852,157.744198,0.000560,1510685,10,2,2,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_omp_O2,9.378440,42.252152,51.630593,0.007034,1510685,10,2,2,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_O2,81.240808,42.118731,123.359539,0.000807,1510685,10,4,4,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_collapse_O2,229.649167,42.172959,271.822126,0.000284,1510685,10,4,4,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_omp_O2,16.256568,42.910713,59.167281,0.004122,1510685,10,4,4,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_O2,77.590377,42.151958,119.742335,0.000846,1510685,10,4,4,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_collapse_O2,154.578971,43.458857,198.037828,0.000422,1510685,10,4,4,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_omp_O2,12.023113,41.320444,53.343557,0.005514,1510685,10,4,4,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_O2,76.855935,41.486091,118.342026,0.000850,1510685,10,4,4,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_collapse_O2,116.685601,43.059006,159.744607,0.000559,1510685,10,4,4,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_omp_O2,8.930255,42.915379,51.845634,0.007399,1510685,10,4,4,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_O2,77.866949,41.490276,119.357225,0.000841,1510685,10,16,16,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_collapse_O2,233.820911,44.142177,277.963088,0.000279,1510685,10,16,16,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_omp_O2,16.755782,41.243517,57.999299,0.003959,1510685,10,16,16,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_O2,76.821653,42.239313,119.060966,0.000851,1510685,10,16,16,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_collapse_O2,158.059307,42.770729,200.830035,0.000412,1510685,10,16,16,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_omp_O2,12.253744,41.252818,53.506563,0.005416,1510685,10,16,16,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_O2,76.686765,42.173282,118.860047,0.000852,1510685,10,16,16,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_collapse_O2,119.115207,43.073412,162.188619,0.000548,1510685,10,16,16,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_omp_O2,8.836560,41.557937,50.394497,0.007455,1510685,10,16,16,16,32,65117344,62451,62451,2034917,40,32,54,7
