Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsr_omp_O3,0.049517,986.511691,986.561208,6705.305120,2387987,10,1,1,16,8,330148095408,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O3,104.584242,980.108881,1084.693123,3.156774,2387987,10,1,1,16,8,330148095408,121192,121192,1362087,24,11,45,6
bcsr_omp_O3,0.036087,984.843289,984.879376,9286.443159,2387987,10,1,1,16,16,330148095408,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O3,52.404708,980.967729,1033.372436,6.300011,2387987,10,1,1,16,16,330148095408,121192,121192,1362087,24,11,45,6
bcsr_omp_O3,0.028511,972.971423,972.999934,12415.922150,2387987,10,1,1,16,32,330148095408,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O3,26.494545,990.889456,1017.384001,12.461148,2387987,10,1,1,16,32,330148095408,121192,121192,1362087,24,11,45,6
bcsr_omp_O3,0.052386,956.818392,956.870778,9941.174014,2387992,10,2,2,16,8,517739010752,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O3,80.327091,958.052095,1038.379186,6.445420,2387992,10,2,2,16,8,517739010752,121192,121192,1362087,24,11,45,6
bcsr_omp_O3,0.039550,961.690260,961.729810,13346.680168,2387992,10,2,2,16,16,517739010752,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O3,40.184300,961.459436,1001.643736,12.884323,2387992,10,2,2,16,16,517739010752,121192,121192,1362087,24,11,45,6
bcsr_omp_O3,0.034648,950.959301,950.993949,15492.217766,2387992,10,2,2,16,32,517739010752,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O3,20.328715,951.868606,972.197321,25.468634,2387992,10,2,2,16,32,517739010752,121192,121192,1362087,24,11,45,6
bcsr_omp_O3,0.084396,948.231386,948.315782,16651.465746,2387984,10,4,4,16,8,1402751831808,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O3,110.083338,947.490063,1057.573402,12.742682,2387984,10,4,4,16,8,1402751831808,121192,121192,1362087,24,11,45,6
bcsr_omp_O3,0.060530,950.070884,950.131414,23409.527840,2387984,10,4,4,16,16,1402751831808,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O3,55.217527,950.165225,1005.382752,25.404530,2387984,10,4,4,16,16,1402751831808,121192,121192,1362087,24,11,45,6
bcsr_omp_O3,0.047043,949.379927,949.426970,30887.224483,2387984,10,4,4,16,32,1402751831808,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O3,27.845327,953.948763,981.794090,50.376960,2387984,10,4,4,16,32,1402751831808,121192,121192,1362087,24,11,45,6
bcsr_omp_O3,0.301671,956.701333,957.003004,43978.807598,2387983,10,16,16,16,8,13255061839872,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O3,262.310838,961.161209,1223.472047,50.531981,2387983,10,16,16,16,8,13255061839872,121192,121192,1362087,24,11,45,6
bcsr_omp_O3,0.184675,954.286807,954.471482,72034.175923,2387983,10,16,16,16,16,13255061839872,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O3,130.947754,977.584118,1108.531872,101.224264,2387983,10,16,16,16,16,13255061839872,121192,121192,1362087,24,11,45,6
bcsr_omp_O3,0.133642,953.735000,953.868642,99752.883108,2387983,10,16,16,16,32,13255061839872,121192,121192,1362087,24,11,45,6
bcsr_omp_collapse_O3,66.237434,953.058270,1019.295704,200.116268,2387983,10,16,16,16,32,13255061839872,121192,121192,1362087,24,11,45,6
