Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bell_omp_O3,0.044967,18.094850,18.139817,0.991061,1334311,10,1,1,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,63.544548,17.900978,81.445526,0.000686,1334311,10,1,1,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.032077,18.075820,18.107897,1.392329,1334311,10,1,1,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,31.897876,17.829774,49.727650,0.001366,1334311,10,1,1,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.027972,18.059323,18.087295,1.694711,1334311,10,1,1,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,16.128397,18.028248,34.156646,0.002703,1334311,10,1,1,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.045876,18.029576,18.075452,0.961165,1334311,10,2,2,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,66.872468,18.040168,84.912637,0.000652,1334311,10,2,2,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.035083,18.001702,18.036785,1.284428,1334311,10,2,2,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,33.550264,18.073705,51.623968,0.001299,1334311,10,2,2,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.027566,18.073518,18.101084,1.693888,1334311,10,2,2,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,16.887366,18.066924,34.954290,0.002581,1334311,10,2,2,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.048358,18.104344,18.152702,0.916175,1334311,10,4,4,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,74.112034,18.069361,92.181395,0.000588,1334311,10,4,4,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.035672,18.092424,18.128096,1.282234,1334311,10,4,4,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,37.295852,18.322864,55.618716,0.001169,1334311,10,4,4,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.030657,17.876379,17.907036,1.542476,1334311,10,4,4,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,18.777416,17.939256,36.716672,0.002321,1334311,10,4,4,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.047348,17.944464,17.991812,0.927157,1334311,10,16,16,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,86.463394,17.873091,104.336485,0.000504,1334311,10,16,16,16,8,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.037167,18.248876,18.286042,1.183310,1334311,10,16,16,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,43.277525,17.894362,61.171887,0.001007,1334311,10,16,16,16,16,43586784,121192,121192,1362087,24,11,45,6
bell_omp_O3,0.028035,18.442730,18.470765,1.646959,1334311,10,16,16,16,32,43586784,121192,121192,1362087,24,11,45,6
bell_omp_collapse_O3,21.883167,18.010672,39.893840,0.001992,1334311,10,16,16,16,32,43586784,121192,121192,1362087,24,11,45,6
