Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsr_omp_O3,0.018305,111.352577,111.370882,28468.362173,0,10,1,1,16,8,159549504894,36417,36417,2190591,184,60,753,27
bcsr_omp_collapse_O3,58.522397,110.632812,169.155208,2.726335,0,10,1,1,16,8,159549504894,36417,36417,2190591,184,60,753,27
bcsr_omp_O3,0.009709,111.087071,111.096780,69195.840443,0,10,1,1,16,16,159549504894,36417,36417,2190591,184,60,753,27
bcsr_omp_collapse_O3,29.469622,111.198788,140.668410,5.414042,0,10,1,1,16,16,159549504894,36417,36417,2190591,184,60,753,27
bcsr_omp_O3,0.009155,110.863179,110.872334,104238.233173,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
bcsr_omp_collapse_O3,14.811651,111.206151,126.017803,10.772189,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
bcsr_omp_O3,0.012247,108.459251,108.471498,47313.250242,0,10,2,2,16,8,186933413712,36417,36417,2190591,184,60,753,27
bcsr_omp_collapse_O3,35.145028,108.343274,143.488302,5.319050,0,10,2,2,16,8,186933413712,36417,36417,2190591,184,60,753,27
bcsr_omp_O3,0.009548,108.304598,108.314146,85043.860097,0,10,2,2,16,16,186933413712,36417,36417,2190591,184,60,753,27
bcsr_omp_collapse_O3,17.695348,108.431478,126.126826,10.564218,0,10,2,2,16,16,186933413712,36417,36417,2190591,184,60,753,27
bcsr_omp_O3,0.009463,108.411623,108.421086,134970.061010,0,10,2,2,16,32,186933413712,36417,36417,2190591,184,60,753,27
bcsr_omp_collapse_O3,8.949924,108.613363,117.563287,20.887259,0,10,2,2,16,32,186933413712,36417,36417,2190591,184,60,753,27
bcsr_omp_O3,0.013018,108.042428,108.055446,54977.237992,0,10,4,4,16,8,245955173952,36417,36417,2190591,184,60,753,27
bcsr_omp_collapse_O3,23.343265,108.315525,131.658790,10.536688,0,10,4,4,16,8,245955173952,36417,36417,2190591,184,60,753,27
bcsr_omp_O3,0.010011,107.976185,107.986196,95027.944001,0,10,4,4,16,16,245955173952,36417,36417,2190591,184,60,753,27
bcsr_omp_collapse_O3,11.799856,107.897933,119.697789,20.844167,0,10,4,4,16,16,245955173952,36417,36417,2190591,184,60,753,27
bcsr_omp_O3,0.010319,107.472150,107.482469,167503.013155,0,10,4,4,16,32,245955173952,36417,36417,2190591,184,60,753,27
bcsr_omp_collapse_O3,6.002971,107.571791,113.574762,40.973152,0,10,4,4,16,32,245955173952,36417,36417,2190591,184,60,753,27
bcsr_omp_O3,0.018633,108.580881,108.599514,52933.378255,0,10,16,16,16,8,493714300416,36417,36417,2190591,184,60,753,27
bcsr_omp_collapse_O3,11.377390,108.003769,119.381159,43.394953,0,10,16,16,16,8,493714300416,36417,36417,2190591,184,60,753,27
bcsr_omp_O3,0.013341,108.509003,108.522344,101593.246373,0,10,16,16,16,16,493714300416,36417,36417,2190591,184,60,753,27
bcsr_omp_collapse_O3,5.750448,108.217214,113.967662,85.860954,0,10,16,16,16,16,493714300416,36417,36417,2190591,184,60,753,27
bcsr_omp_O3,0.020731,107.836982,107.857713,107653.783398,0,10,16,16,16,32,493714300416,36417,36417,2190591,184,60,753,27
bcsr_omp_collapse_O3,2.949484,108.771830,111.721314,167.398886,0,10,16,16,16,32,493714300416,36417,36417,2190591,184,60,753,27
