Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bell_omp_O3,0.013043,2.586085,2.599128,20.372090,2141161,10,1,1,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O3,27.085786,2.496167,29.581953,0.002588,2141161,10,1,1,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O3,0.007669,2.554686,2.562355,45.517635,2141161,10,1,1,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O3,13.630845,2.572055,16.202901,0.005143,2141161,10,1,1,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O3,0.007793,2.559746,2.567539,62.301690,2141161,10,1,1,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O3,6.955019,2.584238,9.539257,0.010079,2141161,10,1,1,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O3,0.006281,2.579881,2.586162,25.528993,2141161,10,2,2,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O3,28.522148,2.522720,31.044868,0.002458,2141161,10,2,2,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O3,0.007924,2.568762,2.576686,43.982594,2141161,10,2,2,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O3,14.593219,2.555606,17.148825,0.004804,2141161,10,2,2,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O3,0.007510,2.618469,2.625979,69.961770,2141161,10,2,2,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O3,7.382872,2.577194,9.960066,0.009495,2141161,10,2,2,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O3,0.009753,2.612594,2.622347,21.992167,2141161,10,4,4,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O3,31.376555,2.613554,33.990109,0.002234,2141161,10,4,4,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O3,0.007748,2.629888,2.637636,42.018001,2141161,10,4,4,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O3,15.787154,2.613920,18.401074,0.004440,2141161,10,4,4,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O3,0.011236,2.563565,2.574801,47.350498,2141161,10,4,4,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O3,7.972413,2.574602,10.547015,0.008793,2141161,10,4,4,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O3,0.027973,2.582496,2.610469,5.710905,2141161,10,16,16,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O3,37.672178,2.630830,40.303008,0.001861,2141161,10,16,16,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O3,0.007750,2.579230,2.586979,35.654573,2141161,10,16,16,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O3,18.494958,2.570113,21.065071,0.003790,2141161,10,16,16,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_omp_O3,0.008501,2.571904,2.580405,56.998572,2141161,10,16,16,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_omp_collapse_O3,9.384423,2.561737,11.946160,0.007470,2141161,10,16,16,16,32,70098912,36417,36417,2190591,184,60,753,27
