Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bell_transpose_omp_O2,24.553470,15.145321,39.698791,0.002858,2141161,10,1,1,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_collapse_O2,110.829577,15.111338,125.940915,0.000633,2141161,10,1,1,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_omp_O2,4.256832,15.183150,19.439982,0.017214,2141161,10,1,1,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_O2,25.195145,15.177285,40.372430,0.002797,2141161,10,1,1,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_collapse_O2,68.389512,15.742886,84.132398,0.001025,2141161,10,1,1,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_omp_O2,2.735677,15.119559,17.855236,0.026218,2141161,10,1,1,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_O2,24.412465,15.285672,39.698137,0.002874,2141161,10,1,1,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_collapse_O2,47.965548,15.209204,63.174752,0.001462,2141161,10,1,1,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_omp_O2,2.472942,15.144060,17.617003,0.028877,2141161,10,1,1,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_O2,25.363678,16.070629,41.434307,0.002768,2141161,10,2,2,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_collapse_O2,115.077306,15.287240,130.364547,0.000609,2141161,10,2,2,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_omp_O2,3.880577,15.099826,18.980403,0.018551,2141161,10,2,2,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_O2,25.196771,15.205580,40.402351,0.002795,2141161,10,2,2,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_collapse_O2,71.078911,15.731626,86.810537,0.000986,2141161,10,2,2,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_omp_O2,2.853011,15.126880,17.979891,0.025061,2141161,10,2,2,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_O2,25.187461,16.153417,41.340878,0.002790,2141161,10,2,2,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_collapse_O2,49.179378,15.247711,64.427089,0.001426,2141161,10,2,2,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_omp_O2,2.523627,15.210307,17.733934,0.028185,2141161,10,2,2,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_O2,25.209194,16.087270,41.296464,0.002785,2141161,10,4,4,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_collapse_O2,122.286796,15.349423,137.636219,0.000573,2141161,10,4,4,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_omp_O2,3.683632,15.120516,18.804148,0.019186,2141161,10,4,4,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_O2,25.845470,16.176517,42.021987,0.002732,2141161,10,4,4,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_collapse_O2,74.633575,16.202080,90.835655,0.000939,2141161,10,4,4,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_omp_O2,2.834448,15.124389,17.958837,0.025152,2141161,10,4,4,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_O2,24.969597,16.149417,41.119014,0.002813,2141161,10,4,4,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_collapse_O2,50.874664,15.359758,66.234422,0.001378,2141161,10,4,4,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_omp_O2,2.346616,15.136126,17.482742,0.030409,2141161,10,4,4,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_O2,25.063933,15.286600,40.350533,0.002807,2141161,10,16,16,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_collapse_O2,142.152303,15.524420,157.676723,0.000493,2141161,10,16,16,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_omp_O2,3.904246,15.339286,19.243532,0.018416,2141161,10,16,16,16,8,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_O2,25.245546,15.279661,40.525207,0.002792,2141161,10,16,16,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_collapse_O2,84.195162,15.742389,99.937551,0.000833,2141161,10,16,16,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_omp_O2,2.776724,15.144051,17.920775,0.025603,2141161,10,16,16,16,16,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_O2,25.311071,16.193337,41.504408,0.002774,2141161,10,16,16,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_collapse_O2,57.292307,15.536069,72.828376,0.001225,2141161,10,16,16,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_omp_O2,2.352917,16.136255,18.489172,0.030402,2141161,10,16,16,16,32,70098912,36417,36417,2190591,184,60,753,27
