Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsr_omp_O2,0.017156,172.893045,172.910201,20374.844393,0,10,1,1,16,8,222372673670,46835,46835,2374001,145,50,772,27
bcsr_omp_collapse_O2,81.345373,173.314123,254.659496,2.733694,0,10,1,1,16,8,222372673670,46835,46835,2374001,145,50,772,27
bcsr_omp_O2,0.013217,172.763184,172.776401,32542.003894,0,10,1,1,16,16,222372673670,46835,46835,2374001,145,50,772,27
bcsr_omp_collapse_O2,40.742477,173.094659,213.837136,5.458048,0,10,1,1,16,16,222372673670,46835,46835,2374001,145,50,772,27
bcsr_omp_O2,0.015702,171.976923,171.992625,35523.970151,0,10,1,1,16,32,222372673670,46835,46835,2374001,145,50,772,27
bcsr_omp_collapse_O2,20.583423,172.823825,193.407248,10.803593,0,10,1,1,16,32,222372673670,46835,46835,2374001,145,50,772,27
bcsr_omp_O2,0.028671,169.865907,169.894578,14830.598139,0,10,2,2,16,8,287196716160,46835,46835,2374001,145,50,772,27
bcsr_omp_collapse_O2,53.219745,169.336028,222.555773,5.397130,0,10,2,2,16,8,287196716160,46835,46835,2374001,145,50,772,27
bcsr_omp_O2,0.020515,165.802431,165.822946,25616.753228,0,10,2,2,16,16,287196716160,46835,46835,2374001,145,50,772,27
bcsr_omp_collapse_O2,27.027371,168.482950,195.510321,10.626161,0,10,2,2,16,16,287196716160,46835,46835,2374001,145,50,772,27
bcsr_omp_O2,0.027998,166.967632,166.995630,11772.795128,0,10,2,2,16,32,287196716160,46835,46835,2374001,145,50,772,27
bcsr_omp_collapse_O2,13.427148,166.315841,179.742988,21.389355,0,10,2,2,16,32,287196716160,46835,46835,2374001,145,50,772,27
bcsr_omp_O2,0.031215,166.086205,166.117420,16360.589365,0,10,4,4,16,8,406688163040,46835,46835,2374001,145,50,772,27
bcsr_omp_collapse_O2,37.920739,166.025343,203.946082,10.725258,0,10,4,4,16,8,406688163040,46835,46835,2374001,145,50,772,27
bcsr_omp_O2,0.019286,169.547788,169.567075,33707.847919,0,10,4,4,16,16,406688163040,46835,46835,2374001,145,50,772,27
bcsr_omp_collapse_O2,19.478776,170.863963,190.342739,20.878770,0,10,4,4,16,16,406688163040,46835,46835,2374001,145,50,772,27
bcsr_omp_O2,0.035884,170.004762,170.040646,12310.237303,0,10,4,4,16,32,406688163040,46835,46835,2374001,145,50,772,27
bcsr_omp_collapse_O2,9.862793,170.970651,180.833444,41.235491,0,10,4,4,16,32,406688163040,46835,46835,2374001,145,50,772,27
bcsr_omp_O2,0.049809,171.161898,171.211708,22324.891004,0,10,16,16,16,8,957694069760,46835,46835,2374001,145,50,772,27
bcsr_omp_collapse_O2,21.899390,169.799056,191.698446,43.731923,0,10,16,16,16,8,957694069760,46835,46835,2374001,145,50,772,27
bcsr_omp_O2,0.047407,168.903959,168.951366,25585.866129,0,10,16,16,16,16,957694069760,46835,46835,2374001,145,50,772,27
bcsr_omp_collapse_O2,11.010215,169.869908,180.880123,86.982826,0,10,16,16,16,16,957694069760,46835,46835,2374001,145,50,772,27
bcsr_omp_O2,0.050213,170.442502,170.492715,20265.122237,0,10,16,16,16,32,957694069760,46835,46835,2374001,145,50,772,27
bcsr_omp_collapse_O2,5.611237,170.396490,176.007727,170.677935,0,10,16,16,16,32,957694069760,46835,46835,2374001,145,50,772,27
