Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bell_omp_O2,0.014861,3.698305,3.713166,8.360018,1703782,10,1,1,16,8,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,38.641649,3.679512,42.321161,0.001966,1703782,10,1,1,16,8,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.015117,3.673394,3.688511,12.098299,1703782,10,1,1,16,16,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,19.267162,3.691318,22.958479,0.003943,1703782,10,1,1,16,16,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.023904,3.626097,3.650001,3.854452,1703782,10,1,1,16,32,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,9.619735,3.608189,13.227924,0.007897,1703782,10,1,1,16,32,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.015047,3.611880,3.626927,8.342718,1703782,10,2,2,16,8,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,40.595291,3.605479,44.200770,0.001871,1703782,10,2,2,16,8,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.012283,3.613920,3.626203,13.174345,1703782,10,2,2,16,16,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,20.486061,3.620732,24.106793,0.003708,1703782,10,2,2,16,16,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.023670,3.625598,3.649268,3.656648,1703782,10,2,2,16,32,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,10.364305,3.677699,14.042004,0.007330,1703782,10,2,2,16,32,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.016877,3.706973,3.723850,6.548790,1703782,10,4,4,16,8,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,45.745313,3.662736,49.408049,0.001661,1703782,10,4,4,16,8,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.013431,3.722327,3.735758,10.254741,1703782,10,4,4,16,16,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,23.047470,3.729320,26.776790,0.003296,1703782,10,4,4,16,16,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.016758,3.740909,3.757667,8.834260,1703782,10,4,4,16,32,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,11.643307,3.720962,15.364269,0.006525,1703782,10,4,4,16,32,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.024132,3.709039,3.733171,4.209365,1703782,10,16,16,16,8,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,59.926116,3.695633,63.621749,0.001268,1703782,10,16,16,16,8,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.014785,3.764414,3.779199,8.731502,1703782,10,16,16,16,16,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,30.014987,3.847385,33.862372,0.002531,1703782,10,16,16,16,16,75968032,46835,46835,2374001,145,50,772,27
bell_omp_O2,0.021345,3.748705,3.770050,4.892111,1703782,10,16,16,16,32,75968032,46835,46835,2374001,145,50,772,27
bell_omp_collapse_O2,15.143083,3.713429,18.856512,0.005017,1703782,10,16,16,16,32,75968032,46835,46835,2374001,145,50,772,27
