Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsstk17 1x1,0.004499,7.375739,7.380239,45629.811118,0,10,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
bcsstk17 2x2,0.004093,7.314195,7.318288,61712.06743,0,10,2,2,16,-1,5745898608,10974,10974,219812,108,20,79,8
bcsstk17 4x4,0.004194,7.281391,7.285585,64457.924387,0,10,4,4,16,-1,8464553472,10974,10974,219812,108,20,79,8
bcsstk17 16x16,0.003893,7.282255,7.286148,58802.690491,0,10,16,16,16,-1,23744575488,10974,10974,219812,108,20,79,8
cant 1x1,0.037616,285.548553,285.586169,7910.716613,0,10,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
cant 2x2,0.036711,285.433703,285.470414,11282.158609,0,10,2,2,16,-1,342384859656,62451,62451,2034917,40,32,54,7
cant 4x4,0.035835,282.029891,282.065726,14928.842227,0,10,4,4,16,-1,478122857568,62451,62451,2034917,40,32,54,7
cant 16x16,0.043279,282.476549,282.519828,26870.627006,0,10,16,16,16,-1,1059808458240,62451,62451,2034917,40,32,54,7
cop20k_A 1x1,0.028291,966.111278,966.139569,14444.072524,2387987,10,1,1,16,-1,330148095408,121192,121192,1362087,24,11,45,6
cop20k_A 2x2,0.03492,959.389126,959.424046,17602.490128,2387992,10,2,2,16,-1,517739010752,121192,121192,1362087,24,11,45,6
cop20k_A 4x4,0.041581,949.52573,949.567311,37037.673792,2387984,10,4,4,16,-1,1402751831808,121192,121192,1362087,24,11,45,6
cop20k_A 16x16,0.1056,969.192951,969.298551,130234.535444,2387983,10,16,16,16,-1,13255061839872,121192,121192,1362087,24,11,45,6
pdb1HYS 1x1,0.009071,109.934363,109.943434,157525.574158,0,10,1,1,16,-1,159549504894,36417,36417,2190591,184,60,753,27
pdb1HYS 2x2,0.009109,107.986471,107.99558,235930.906136,0,10,2,2,16,-1,186933413712,36417,36417,2190591,184,60,753,27
pdb1HYS 4x4,0.012776,106.914677,106.927453,177029.720292,0,10,4,4,16,-1,245955173952,36417,36417,2190591,184,60,753,27
pdb1HYS 16x16,0.012373,107.466432,107.478805,225898.762583,0,10,16,16,16,-1,493714300416,36417,36417,2190591,184,60,753,27
rma10 1x1,0.024036,173.44283,173.466867,15003.206511,0,10,1,1,16,-1,222372673670,46835,46835,2374001,145,50,772,27
rma10 2x2,0.025709,169.897529,169.923239,15316.812049,0,10,2,2,16,-1,287196716160,46835,46835,2374001,145,50,772,27
rma10 4x4,0.026928,169.954354,169.981282,20911.303662,0,10,4,4,16,-1,406688163040,46835,46835,2374001,145,50,772,27
rma10 16x16,0.035594,170.244715,170.280309,32912.372199,0,10,16,16,16,-1,957694069760,46835,46835,2374001,145,50,772,27
