Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsstk17 1x1 -t 8,0.002042,7.504394,7.506436,10761.993383,0,10,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
bcsstk17 1x1 -t 16,0.002328,7.432718,7.435046,17858.113824,0,10,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
bcsstk17 1x1 -t 32,0.002118,7.42842,7.430538,30662.614693,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
bcsstk17 2x2 -t 8,0.001707,7.3248,7.326507,13935.262867,0,10,2,2,16,8,5745898608,10974,10974,219812,108,20,79,8
bcsstk17 2x2 -t 16,0.002318,7.368323,7.37064,18728.959937,0,10,2,2,16,16,5745898608,10974,10974,219812,108,20,79,8
bcsstk17 2x2 -t 32,0.002387,7.431258,7.433645,30978.833002,0,10,2,2,16,32,5745898608,10974,10974,219812,108,20,79,8
bcsstk17 4x4 -t 8,0.002982,7.307763,7.310745,12109.098669,0,10,4,4,16,8,8464553472,10974,10974,219812,108,20,79,8
bcsstk17 4x4 -t 16,0.002478,7.415068,7.417546,21512.079199,0,10,4,4,16,16,8464553472,10974,10974,219812,108,20,79,8
bcsstk17 4x4 -t 32,0.003052,7.420073,7.423125,37449.204574,0,10,4,4,16,32,8464553472,10974,10974,219812,108,20,79,8
bcsstk17 16x16 -t 8,0.005068,7.384327,7.389395,12373.370868,0,10,16,16,16,8,23744575488,10974,10974,219812,108,20,79,8
bcsstk17 16x16 -t 16,0.004939,7.330667,7.335606,20588.150718,0,10,16,16,16,16,23744575488,10974,10974,219812,108,20,79,8
bcsstk17 16x16 -t 32,0.004278,7.321174,7.325452,34166.726251,0,10,16,16,16,32,23744575488,10974,10974,219812,108,20,79,8
cant 1x1 -t 8,0.036732,285.643089,285.679821,7028.595962,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
cant 1x1 -t 16,0.028023,286.617787,286.64581,9507.267268,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
cant 1x1 -t 32,0.027644,286.736032,286.763676,10105.383903,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
cant 2x2 -t 8,0.041976,285.549564,285.59154,8206.493075,0,10,2,2,16,8,342384859656,62451,62451,2034917,40,32,54,7
cant 2x2 -t 16,0.03411,284.208836,284.242946,10377.5563,0,10,2,2,16,16,342384859656,62451,62451,2034917,40,32,54,7
cant 2x2 -t 32,0.026982,284.806733,284.833715,13787.156553,0,10,2,2,16,32,342384859656,62451,62451,2034917,40,32,54,7
cant 4x4 -t 8,0.050699,282.51597,282.566669,9507.415116,0,10,4,4,16,8,478122857568,62451,62451,2034917,40,32,54,7
cant 4x4 -t 16,0.04086,283.935185,283.976045,12098.840832,0,10,4,4,16,16,478122857568,62451,62451,2034917,40,32,54,7
cant 4x4 -t 32,0.03231,282.741418,282.773728,15630.762066,0,10,4,4,16,32,478122857568,62451,62451,2034917,40,32,54,7
cant 16x16 -t 8,0.072648,285.897482,285.97013,14632.111268,0,10,16,16,16,8,1059808458240,62451,62451,2034917,40,32,54,7
cant 16x16 -t 16,0.056863,286.962547,287.01941,18818.29438,0,10,16,16,16,16,1059808458240,62451,62451,2034917,40,32,54,7
cant 16x16 -t 32,0.044574,283.948722,283.993296,24492.071976,0,10,16,16,16,32,1059808458240,62451,62451,2034917,40,32,54,7
cop20k_A 1x1 -t 8,0.045781,969.193452,969.239233,7253.949367,2387987,10,1,1,16,8,330148095408,121192,121192,1362087,24,11,45,6
cop20k_A 1x1 -t 16,0.0316,976.584981,976.616581,10666.564187,2387987,10,1,1,16,16,330148095408,121192,121192,1362087,24,11,45,6
cop20k_A 1x1 -t 32,0.025932,972.063532,972.089464,13653.996316,2387987,10,1,1,16,32,330148095408,121192,121192,1362087,24,11,45,6
cop20k_A 2x2 -t 8,0.04857,966.486064,966.534634,10747.432637,2387992,10,2,2,16,8,517739010752,121192,121192,1362087,24,11,45,6
cop20k_A 2x2 -t 16,0.036782,954.160855,954.197637,14343.840216,2387992,10,2,2,16,16,517739010752,121192,121192,1362087,24,11,45,6
cop20k_A 2x2 -t 32,0.031633,957.594488,957.626121,17137.675465,2387992,10,2,2,16,32,517739010752,121192,121192,1362087,24,11,45,6
cop20k_A 4x4 -t 8,0.079543,963.088832,963.168375,17859.528137,2387984,10,4,4,16,8,1402751831808,121192,121192,1362087,24,11,45,6
cop20k_A 4x4 -t 16,0.062121,945.615362,945.677483,22859.818636,2387984,10,4,4,16,16,1402751831808,121192,121192,1362087,24,11,45,6
cop20k_A 4x4 -t 32,0.046245,947.498358,947.544603,31290.18504,2387984,10,4,4,16,32,1402751831808,121192,121192,1362087,24,11,45,6
cop20k_A 16x16 -t 8,0.300884,945.60897,945.909854,44122.602765,2387983,10,16,16,16,8,13255061839872,121192,121192,1362087,24,11,45,6
cop20k_A 16x16 -t 16,0.201405,946.959526,947.160931,66129.514998,2387983,10,16,16,16,16,13255061839872,121192,121192,1362087,24,11,45,6
cop20k_A 16x16 -t 32,0.144085,943.116435,943.26052,92491.032116,2387983,10,16,16,16,32,13255061839872,121192,121192,1362087,24,11,45,6
pdb1HYS 1x1 -t 8,0.012079,108.783896,108.795975,38446.460976,0,10,1,1,16,8,159549504894,36417,36417,2190591,184,60,753,27
pdb1HYS 1x1 -t 16,0.009004,109.333379,109.342383,82155.002435,0,10,1,1,16,16,159549504894,36417,36417,2190591,184,60,753,27
pdb1HYS 1x1 -t 32,0.009089,109.446642,109.455731,109492.229712,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
pdb1HYS 2x2 -t 8,0.007804,105.874006,105.88181,52204.066289,0,10,2,2,16,8,186933413712,36417,36417,2190591,184,60,753,27
pdb1HYS 2x2 -t 16,0.009528,105.380169,105.389697,82147.016572,0,10,2,2,16,16,186933413712,36417,36417,2190591,184,60,753,27
pdb1HYS 2x2 -t 32,0.009362,107.890699,107.900061,144303.997083,0,10,2,2,16,32,186933413712,36417,36417,2190591,184,60,753,27
pdb1HYS 4x4 -t 8,0.014612,106.971306,106.985918,48307.41964,0,10,4,4,16,8,245955173952,36417,36417,2190591,184,60,753,27
pdb1HYS 4x4 -t 16,0.010783,107.666024,107.676807,81270.614614,0,10,4,4,16,16,245955173952,36417,36417,2190591,184,60,753,27
pdb1HYS 4x4 -t 32,0.019453,104.780659,104.800111,73877.717352,0,10,4,4,16,32,245955173952,36417,36417,2190591,184,60,753,27
pdb1HYS 16x16 -t 8,0.015178,105.085916,105.101094,49807.293162,0,10,16,16,16,8,493714300416,36417,36417,2190591,184,60,753,27
pdb1HYS 16x16 -t 16,0.015685,106.140382,106.156067,83256.07892,0,10,16,16,16,16,493714300416,36417,36417,2190591,184,60,753,27
pdb1HYS 16x16 -t 32,0.020894,107.101369,107.122263,104055.325982,0,10,16,16,16,32,493714300416,36417,36417,2190591,184,60,753,27
rma10 1x1 -t 8,0.017156,172.893045,172.910201,20374.844393,0,10,1,1,16,8,222372673670,46835,46835,2374001,145,50,772,27
rma10 1x1 -t 16,0.013217,172.763184,172.776401,32542.003894,0,10,1,1,16,16,222372673670,46835,46835,2374001,145,50,772,27
rma10 1x1 -t 32,0.015702,171.976923,171.992625,35523.970151,0,10,1,1,16,32,222372673670,46835,46835,2374001,145,50,772,27
rma10 2x2 -t 8,0.028671,169.865907,169.894578,14830.598139,0,10,2,2,16,8,287196716160,46835,46835,2374001,145,50,772,27
rma10 2x2 -t 16,0.020515,165.802431,165.822946,25616.753228,0,10,2,2,16,16,287196716160,46835,46835,2374001,145,50,772,27
rma10 2x2 -t 32,0.027998,166.967632,166.99563,11772.795128,0,10,2,2,16,32,287196716160,46835,46835,2374001,145,50,772,27
rma10 4x4 -t 8,0.031215,166.086205,166.11742,16360.589365,0,10,4,4,16,8,406688163040,46835,46835,2374001,145,50,772,27
rma10 4x4 -t 16,0.019286,169.547788,169.567075,33707.847919,0,10,4,4,16,16,406688163040,46835,46835,2374001,145,50,772,27
rma10 4x4 -t 32,0.035884,170.004762,170.040646,12310.237303,0,10,4,4,16,32,406688163040,46835,46835,2374001,145,50,772,27
rma10 16x16 -t 8,0.049809,171.161898,171.211708,22324.891004,0,10,16,16,16,8,957694069760,46835,46835,2374001,145,50,772,27
rma10 16x16 -t 16,0.047407,168.903959,168.951366,25585.866129,0,10,16,16,16,16,957694069760,46835,46835,2374001,145,50,772,27
rma10 16x16 -t 32,0.050213,170.442502,170.492715,20265.122237,0,10,16,16,16,32,957694069760,46835,46835,2374001,145,50,772,27
