Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsstk17 1,0.001349,0.237891,0.23924,82.634548,113065,10,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsstk17 2,0.00712,0.237041,0.244161,29.739049,113065,10,2,2,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsstk17 4,0.001262,0.238224,0.239486,69.687322,113065,10,4,4,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsstk17 16,0.001834,0.240096,0.24193,55.875337,113065,10,16,16,16,-1,7033984,10974,10974,219812,108,20,79,8
cant 1,0.022333,5.646859,5.669192,3.664397,1510685,10,1,1,16,-1,65117344,62451,62451,2034917,40,32,54,7
cant 2,0.02209,5.637443,5.659533,3.607941,1510685,10,2,2,16,-1,65117344,62451,62451,2034917,40,32,54,7
cant 4,0.023638,5.671262,5.6949,3.372426,1510685,10,4,4,16,-1,65117344,62451,62451,2034917,40,32,54,7
cant 16,0.029143,5.682659,5.711802,2.763136,1510685,10,16,16,16,-1,65117344,62451,62451,2034917,40,32,54,7
cop20k_a 1,0.032074,17.865186,17.89726,1.603172,1334311,10,1,1,16,-1,43586784,121192,121192,1362087,24,11,45,6
cop20k_a 2,0.031664,17.899605,17.931269,1.722288,1334311,10,2,2,16,-1,43586784,121192,121192,1362087,24,11,45,6
cop20k_a 4,0.033914,18.454984,18.488898,1.591826,1334311,10,4,4,16,-1,43586784,121192,121192,1362087,24,11,45,6
cop20k_a 16,0.02968,17.911972,17.941652,1.788433,1334311,10,16,16,16,-1,43586784,121192,121192,1362087,24,11,45,6
pdb1hys 1,0.008093,2.601066,2.609159,90.568964,2141161,10,1,1,16,-1,70098912,36417,36417,2190591,184,60,753,27
pdb1hys 2,0.009666,2.60963,2.619297,72.768129,2141161,10,2,2,16,-1,70098912,36417,36417,2190591,184,60,753,27
pdb1hys 4,0.009002,2.628659,2.637661,78.248985,2141161,10,4,4,16,-1,70098912,36417,36417,2190591,184,60,753,27
pdb1hys 16,0.014858,2.656546,2.671404,57.324615,2141161,10,16,16,16,-1,70098912,36417,36417,2190591,184,60,753,27
rma10 1,0.016962,3.576198,3.59316,7.653119,1703782,10,1,1,16,-1,75968032,46835,46835,2374001,145,50,772,27
rma10 2,0.015739,3.666733,3.682472,10.338665,1703782,10,2,2,16,-1,75968032,46835,46835,2374001,145,50,772,27
rma10 4,0.021266,3.653679,3.674945,5.034758,1703782,10,4,4,16,-1,75968032,46835,46835,2374001,145,50,772,27
rma10 16,0.020886,3.680058,3.700944,5.079415,1703782,10,16,16,16,-1,75968032,46835,46835,2374001,145,50,772,27
