Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsstk17,0.001264,0.309373,0.310637,5.59296,0,10,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
bcsstk17 -t 32,0.001648,0.202553,0.204201,97.001409,0,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
bcsstk17 (gpu),0.007772,0.313592,0.321363,108.180832,395030,10,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
cant,0.012032,5.607841,5.619873,5.412558,0,10,1,1,16,-1,65117344,62451,62451,2034917,40,32,54,7
cant -t 32,0.021928,5.266453,5.288381,3.700672,0,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
cant (gpu),0.023984,5.324729,5.348713,2.933677,3033670,10,1,1,16,-1,65117344,62451,62451,2034917,40,32,54,7
cop20k_A,0.054998,17.500345,17.555343,0.792602,0,10,1,1,16,-1,43586784,121192,121192,1362087,24,11,45,6
cop20k_A -t 32,0.030804,17.530803,17.561607,1.690726,0,10,1,1,16,32,43586784,121192,121192,1362087,24,11,45,6
cop20k_A (gpu),0.028559,17.407294,17.435853,2.09822,2958813,10,1,1,16,-1,43586784,121192,121192,1362087,24,11,45,6
pdb1HYS,0.013996,2.366145,2.38014,5.011522,0,10,1,1,16,-1,70098912,36417,36417,2190591,184,60,753,27
pdb1HYS -t 32,0.007777,2.322763,2.33054,123.288794,0,10,1,1,16,32,70098912,36417,36417,2190591,184,60,753,27
pdb1HYS (gpu),0.009215,2.367883,2.377098,93.386255,2772204,10,1,1,16,-1,70098912,36417,36417,2190591,184,60,753,27
rma10,0.017922,3.478864,3.496786,4.239938,0,10,1,1,16,-1,75968032,46835,46835,2374001,145,50,772,27
rma10 -t 32,0.015601,3.395151,3.410752,7.960906,0,10,1,1,16,32,75968032,46835,46835,2374001,145,50,772,27
rma10 (gpu),0.017421,3.355939,3.37336,8.745024,3078073,10,1,1,16,-1,75968032,46835,46835,2374001,145,50,772,27
