Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsstk17,0.001421,0.316213,0.317634,3411.199223,0,10,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
bcsstk17 -t 32,0.001233,0.206274,0.207507,23884.852677,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
bcsstk17 (gpu),0.0096,0.209178,0.218778,26580.495614,0,10,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
cant,0.013108,5.583268,5.596376,19391.243247,0,10,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
cant -t 32,0.02498,5.32222,5.3472,10929.985616,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
cant (gpu),0.023802,5.390271,5.414073,13126.145916,0,10,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
cop20k_A,0.056626,17.878033,17.934659,5831.428404,0,10,1,1,16,-1,330148095408,121192,121192,1362087,24,11,45,6
cop20k_A -t 32,0.030439,17.628189,17.658628,11470.392499,0,10,1,1,16,32,330148095408,121192,121192,1362087,24,11,45,6
cop20k_A (gpu),0.028935,18.063791,18.092726,13593.590281,0,10,1,1,16,-1,330148095408,121192,121192,1362087,24,11,45,6
pdb1HYS,0.015045,2.391386,2.406431,10609.759114,0,10,1,1,16,-1,159549504894,36417,36417,2190591,184,60,753,27
pdb1HYS -t 32,0.009007,2.307775,2.316782,143676.910467,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
pdb1HYS (gpu),0.009144,2.378599,2.387743,198257.398737,0,10,1,1,16,-1,159549504894,36417,36417,2190591,184,60,753,27
rma10,0.018854,3.408547,3.427401,11797.694978,0,10,1,1,16,-1,222372673670,46835,46835,2374001,145,50,772,27
rma10 -t 32,0.022851,3.400688,3.423538,17575.436346,0,10,1,1,16,32,222372673670,46835,46835,2374001,145,50,772,27
rma10 (gpu),0.015092,3.35991,3.375002,25868.512025,0,10,1,1,16,-1,222372673670,46835,46835,2374001,145,50,772,27
