Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
bcsr_omp_O2,0.00224,8.98703,8.98927,2764.78985,0,10,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,2.079342,9.165664,11.245006,2.323107,0,10,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.356267,9.095943,9.45221,14.342506,0,10,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp_O2,0.001411,9.205687,9.207098,5281.297748,0,10,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,1.997812,8.981849,10.979661,2.416959,0,10,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.172915,9.052376,9.225291,27.941863,0,10,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp_O2,0.006137,9.00477,9.010907,3286.148156,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,2.097198,9.014191,11.111389,2.316102,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.152648,9.047815,9.200463,33.421232,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
bcsr_omp_O2,0.00226,8.908598,8.910858,3323.053817,0,10,2,2,16,8,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,2.041362,8.906504,10.947866,2.818723,0,10,2,2,16,8,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.341507,8.901225,9.242732,17.502808,0,10,2,2,16,8,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp_O2,0.001721,8.887462,8.889182,4984.31722,0,10,2,2,16,16,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,1.997409,8.869509,10.866918,2.878784,0,10,2,2,16,16,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.207033,8.915097,9.12213,30.210728,0,10,2,2,16,16,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp_O2,0.006995,8.861272,8.868267,5046.154807,0,10,2,2,16,32,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,2.095536,9.027528,11.123064,2.761705,0,10,2,2,16,32,5745898608,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.157754,8.942765,9.100519,38.244327,0,10,2,2,16,32,5745898608,10974,10974,219812,108,20,79,8
bcsr_omp_O2,0.00281,9.215246,9.218056,3777.801869,0,10,4,4,16,8,8464553472,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,2.170572,9.362832,11.533404,3.931246,0,10,4,4,16,8,8464553472,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.370382,9.229763,9.600145,24.068284,0,10,4,4,16,8,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp_O2,0.001843,9.218085,9.219928,6817.439593,0,10,4,4,16,16,8464553472,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,1.996458,9.269451,11.26591,4.243173,0,10,4,4,16,16,8464553472,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.216073,9.386011,9.602084,42.253495,0,10,4,4,16,16,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp_O2,0.004961,9.209125,9.214086,7330.737903,0,10,4,4,16,32,8464553472,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,2.09688,9.238406,11.335286,4.065098,0,10,4,4,16,32,8464553472,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.16183,9.290016,9.451846,54.485684,0,10,4,4,16,32,8464553472,10974,10974,219812,108,20,79,8
bcsr_omp_O2,0.004749,8.864928,8.869677,6131.672249,0,10,16,16,16,8,23744575488,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,2.089702,8.963009,11.052711,11.449719,0,10,16,16,16,8,23744575488,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.298706,9.012639,9.311345,79.929714,0,10,16,16,16,8,23744575488,10974,10974,219812,108,20,79,8
bcsr_omp_O2,0.003332,8.946776,8.950108,9276.178599,0,10,16,16,16,16,23744575488,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,2.111246,8.915198,11.026444,11.328239,0,10,16,16,16,16,23744575488,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.176911,8.892761,9.069672,134.422778,0,10,16,16,16,16,23744575488,10974,10974,219812,108,20,79,8
bcsr_omp_O2,0.00606,8.921746,8.927806,9596.132362,0,10,16,16,16,32,23744575488,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_O2,2.151558,8.872786,11.024344,11.194696,0,10,16,16,16,32,23744575488,10974,10974,219812,108,20,79,8
bcsr_transpose_omp_omp_O2,0.160953,8.887677,9.04863,156.208538,0,10,16,16,16,32,23744575488,10974,10974,219812,108,20,79,8
