Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_serial_O2,0.007567,1.410095,1.417662,637.572902,0,10,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
bell_serial_O2,0.006854,1.446364,1.453218,1.026208,113065,10,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
bell_serial_O2,0.008917,1.461286,1.470203,0.885227,113065,10,2,2,16,-1,7033984,10974,10974,219812,108,20,79,8
bell_serial_O2,0.009613,1.456967,1.46658,0.810742,113065,10,4,4,16,-1,7033984,10974,10974,219812,108,20,79,8
bell_serial_O2,0.008948,1.467692,1.47664,0.786129,113065,10,16,16,16,-1,7033984,10974,10974,219812,108,20,79,8
csr_omp_O2,0.002192,1.378622,1.380814,2903.179384,0,10,1,1,16,8,4824433776,10974,10974,219812,108,20,79,8
csr_omp_O2,0.001564,1.469281,1.470845,5244.329557,0,10,1,1,16,16,4824433776,10974,10974,219812,108,20,79,8
csr_omp_O2,0.003072,1.403993,1.407066,6815.315349,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
bell_omp_O2,0.001945,1.458286,1.460231,4.840085,113065,10,1,1,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_O2,0.00134,1.451438,1.452778,8.307306,113065,10,1,1,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_O2,0.002075,1.524468,1.526543,11.546932,113065,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_O2,0.005843,1.485054,1.490897,2.922403,113065,10,2,2,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_O2,0.00137,1.45272,1.45409,7.960563,113065,10,2,2,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_O2,0.002264,1.519381,1.521645,10.419623,113065,10,2,2,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_O2,0.002259,1.410483,1.412741,3.934682,113065,10,4,4,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_O2,0.00152,1.529566,1.531086,6.999594,113065,10,4,4,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_O2,0.002906,1.523335,1.526241,10.203748,113065,10,4,4,16,32,7033984,10974,10974,219812,108,20,79,8
bell_omp_O2,0.002451,1.487252,1.489703,3.531283,113065,10,16,16,16,8,7033984,10974,10974,219812,108,20,79,8
bell_omp_O2,0.001566,1.52177,1.523336,6.980707,113065,10,16,16,16,16,7033984,10974,10974,219812,108,20,79,8
bell_omp_O2,0.002207,1.409569,1.411776,9.047611,113065,10,16,16,16,32,7033984,10974,10974,219812,108,20,79,8
