Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_serial_O2,0.06745,40.880679,40.948129,3770.043603,0,10,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
bcsr_serial_O2,0.067613,329.287319,329.354932,3763.401327,0,10,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
bcsr_serial_O2,0.072915,332.038655,332.11157,4697.59625,0,10,2,2,16,-1,342384859656,62451,62451,2034917,40,32,54,7
bcsr_serial_O2,0.080115,340.685526,340.76564,5967.987518,0,10,4,4,16,-1,478122857568,62451,62451,2034917,40,32,54,7
bcsr_serial_O2,0.136348,329.724757,329.861104,7772.868012,0,10,16,16,16,-1,1059808458240,62451,62451,2034917,40,32,54,7
csr_omp_O2,0.018909,41.890547,41.909456,13507.181878,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
csr_omp_O2,0.011265,41.327371,41.338636,22860.18666,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
csr_omp_O2,0.006498,41.054014,41.060512,43188.52184,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp_O2,0.042648,332.8287,332.871347,8994.170905,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp_O2,0.011838,333.654505,333.666343,21691.483597,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp_O2,0.007545,333.086001,333.093546,37508.370857,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
bcsr_omp_O2,0.048188,331.373481,331.421669,11486.107479,0,10,2,2,16,8,342384859656,62451,62451,2034917,40,32,54,7
bcsr_omp_O2,0.012819,334.471923,334.484742,26969.467856,0,10,2,2,16,16,342384859656,62451,62451,2034917,40,32,54,7
bcsr_omp_O2,0.023877,331.916617,331.940494,23721.880734,0,10,2,2,16,32,342384859656,62451,62451,2034917,40,32,54,7
bcsr_omp_O2,0.041269,346.861948,346.903217,17132.176141,0,10,4,4,16,8,478122857568,62451,62451,2034917,40,32,54,7
bcsr_omp_O2,0.015872,343.090543,343.106415,31003.441704,0,10,4,4,16,16,478122857568,62451,62451,2034917,40,32,54,7
bcsr_omp_O2,0.025256,342.213684,342.238939,28042.682384,0,10,4,4,16,32,478122857568,62451,62451,2034917,40,32,54,7
bcsr_omp_O2,0.053472,334.98554,335.039012,25034.213827,0,10,16,16,16,8,1059808458240,62451,62451,2034917,40,32,54,7
bcsr_omp_O2,0.034909,329.17347,329.208379,40079.568831,0,10,16,16,16,16,1059808458240,62451,62451,2034917,40,32,54,7
bcsr_omp_O2,0.027072,332.405872,332.432944,50575.228654,0,10,16,16,16,32,1059808458240,62451,62451,2034917,40,32,54,7
