Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_serial_O2,0.06745,40.880679,40.948129,3770.043603,0,10,1,1,16,-1,254165203134,62451,62451,2034917,40,32,54,7
bell_serial_O2,0.092591,41.8134,41.905991,0.777266,1510685,10,1,1,16,-1,65117344,62451,62451,2034917,40,32,54,7
bell_serial_O2,0.065712,41.432668,41.49838,0.991447,1510685,10,2,2,16,-1,65117344,62451,62451,2034917,40,32,54,7
bell_serial_O2,0.069586,41.441142,41.510728,0.93578,1510685,10,4,4,16,-1,65117344,62451,62451,2034917,40,32,54,7
bell_serial_O2,0.072571,41.44352,41.516091,0.897289,1510685,10,16,16,16,-1,65117344,62451,62451,2034917,40,32,54,7
csr_omp_O2,0.018909,41.890547,41.909456,13507.181878,0,10,1,1,16,8,254165203134,62451,62451,2034917,40,32,54,7
csr_omp_O2,0.011265,41.327371,41.338636,22860.18666,0,10,1,1,16,16,254165203134,62451,62451,2034917,40,32,54,7
csr_omp_O2,0.006498,41.054014,41.060512,43188.52184,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
bell_omp_O2,0.018347,41.499632,41.517979,3.670409,1510685,10,1,1,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O2,0.01033,41.243058,41.253388,6.566625,1510685,10,1,1,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O2,0.007725,41.236354,41.244079,10.264575,1510685,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O2,0.037849,43.465847,43.503696,2.916613,1510685,10,2,2,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O2,0.011273,41.414102,41.425375,6.072812,1510685,10,2,2,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O2,0.008537,41.267851,41.276388,9.475085,1510685,10,2,2,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O2,0.032312,43.574313,43.606625,3.070717,1510685,10,4,4,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O2,0.011553,41.279298,41.290851,5.830246,1510685,10,4,4,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O2,0.008219,41.921448,41.929667,9.558054,1510685,10,4,4,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O2,0.020338,43.418696,43.439034,3.298174,1510685,10,16,16,16,8,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O2,0.011544,41.283261,41.294805,5.716579,1510685,10,16,16,16,16,65117344,62451,62451,2034917,40,32,54,7
bell_omp_O2,0.008626,41.25775,41.266376,8.995384,1510685,10,16,16,16,32,65117344,62451,62451,2034917,40,32,54,7
