coo (serial),0.001264,0.309373,0.310637,5.59296,0,10,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
coo,0.001648,0.202553,0.204201,97.001409,0,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
coo (gpu),0.007772,0.313592,0.321363,108.180832,395030,10,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
csr (serial),0.001421,0.316213,0.317634,3411.199223,0,10,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
csr,0.001233,0.206274,0.207507,23884.852677,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
csr (gpu),0.0096,0.209178,0.218778,26580.495614,0,10,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
ell (serial),0.007217,0.250017,0.257234,3608.47427,0,10,1,1,16,-1,26012594016,10974,10974,219812,108,20,79,8
ell,0.00333,0.25406,0.25739,35788.081978,0,10,1,1,16,32,26012594016,10974,10974,219812,108,20,79,8
ell (gpu),0.002558,0.237329,0.239887,85215.507794,0,10,1,1,16,-1,26012594016,10974,10974,219812,108,20,79,8
bcsr 1x1 (serial),0.00244,7.524237,7.526677,1982.824424,0,10,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
bcsr 1x1,0.002118,7.42842,7.430538,30662.614693,0,10,1,1,16,32,4824433776,10974,10974,219812,108,20,79,8
bcsr 1x1 (gpu),0.004499,7.375739,7.380239,45629.811118,0,10,1,1,16,-1,4824433776,10974,10974,219812,108,20,79,8
bcsr 2x2 (serial),0.00227,7.485746,7.488015,2540.173156,0,10,2,2,16,-1,5745898608,10974,10974,219812,108,20,79,8
bcsr 2x2,0.002387,7.431258,7.433645,30978.833002,0,10,2,2,16,32,5745898608,10974,10974,219812,108,20,79,8
bcsr 2x2 (gpu),0.004093,7.314195,7.318288,61712.06743,0,10,2,2,16,-1,5745898608,10974,10974,219812,108,20,79,8
bcsr 4x4 (serial),0.002967,7.420726,7.423693,2857.302181,0,10,4,4,16,-1,8464553472,10974,10974,219812,108,20,79,8
bcsr 4x4,0.003052,7.420073,7.423125,37449.204574,0,10,4,4,16,32,8464553472,10974,10974,219812,108,20,79,8
bcsr 4x4 (gpu),0.004194,7.281391,7.285585,64457.924387,0,10,4,4,16,-1,8464553472,10974,10974,219812,108,20,79,8
bcsr 16x16 (serial),0.007404,7.432081,7.439485,3209.504711,0,10,16,16,16,-1,23744575488,10974,10974,219812,108,20,79,8
bcsr 16x16,0.004278,7.321174,7.325452,34166.726251,0,10,16,16,16,32,23744575488,10974,10974,219812,108,20,79,8
bcsr 16x16 (gpu),0.003893,7.282255,7.286148,58802.690491,0,10,16,16,16,-1,23744575488,10974,10974,219812,108,20,79,8
Bell 1 (serial),0.00127,0.339567,0.340837,5.570341,113065,10,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
bell 1,0.002781,0.265378,0.268159,37.120858,113065,10,1,1,16,32,7033984,10974,10974,219812,108,20,79,8
bell 1 (gpu),0.001349,0.237891,0.23924,82.634548,113065,10,1,1,16,-1,7033984,10974,10974,219812,108,20,79,8
Bell 2 (serial),0.001397,0.343552,0.344949,5.06507,113065,10,2,2,16,-1,7033984,10974,10974,219812,108,20,79,8
bell 2,0.002222,0.337756,0.339978,34.832875,113065,10,2,2,16,32,7033984,10974,10974,219812,108,20,79,8
bell 2 (gpu),0.00712,0.237041,0.244161,29.739049,113065,10,2,2,16,-1,7033984,10974,10974,219812,108,20,79,8
Bell 4 (serial),0.001503,0.353359,0.354862,4.706781,113065,10,4,4,16,-1,7033984,10974,10974,219812,108,20,79,8
bell 4,0.00167,0.308655,0.310325,39.799559,113065,10,4,4,16,32,7033984,10974,10974,219812,108,20,79,8
bell 4 (gpu),0.001262,0.238224,0.239486,69.687322,113065,10,4,4,16,-1,7033984,10974,10974,219812,108,20,79,8
Bell 16 (serial),0.001694,0.346776,0.34847,4.180295,113065,10,16,16,16,-1,7033984,10974,10974,219812,108,20,79,8
bell 16,0.001814,0.343106,0.34492,29.18709,113065,10,16,16,16,32,7033984,10974,10974,219812,108,20,79,8
bell 16 (gpu),0.001834,0.240096,0.24193,55.875337,113065,10,16,16,16,-1,7033984,10974,10974,219812,108,20,79,8
