Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_transpose_omp_O2,42.006599,5.623594,47.630193,0.00155,0,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
coo_transpose_omp_omp_O2,5.151134,5.606948,10.758082,0.012642,0,10,1,1,16,32,65117344,62451,62451,2034917,40,32,54,7
csr_transpose_omp_O2,3.72852,5.453721,9.182241,68.181725,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
csr_transpose_omp_omp_O2,3.725108,5.507348,9.232456,68.243993,0,10,1,1,16,32,254165203134,62451,62451,2034917,40,32,54,7
ell_transpose_omp_O2,41.849635,5.689452,47.539087,7.455676,0,10,1,1,16,32,312010192080,62451,62451,2034917,40,32,54,7
ell_transpose_omp_omp_O2,3.74753,5.715279,9.462809,83.272026,0,10,1,1,16,32,312010192080,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_O2,43.010439,283.548248,326.558687,11.119661,0,10,4,4,16,32,478122857568,62451,62451,2034917,40,32,54,7
bcsr_transpose_omp_omp_O2,3.691111,283.18555,286.876661,129.535055,0,10,4,4,16,32,478122857568,62451,62451,2034917,40,32,54,7
bell_transpose_omp_O2,41.730766,5.624143,47.354909,0.00156,1510685,10,4,4,16,32,65117344,62451,62451,2034917,40,32,54,7
bell_transpose_omp_omp_O2,3.684298,5.635932,9.32023,0.017678,1510685,10,4,4,16,32,65117344,62451,62451,2034917,40,32,54,7
