Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo (serial),0.054998,17.500345,17.555343,0.792602,0,10,1,1,16,-1,43586784,121192,121192,1362087,24,11,45,6
coo,0.030804,17.530803,17.561607,1.690726,0,10,1,1,16,32,43586784,121192,121192,1362087,24,11,45,6
coo (gpu),0.028559,17.407294,17.435853,2.09822,2958813,10,1,1,16,-1,43586784,121192,121192,1362087,24,11,45,6
csr (serial),0.056626,17.878033,17.934659,5831.428404,0,10,1,1,16,-1,330148095408,121192,121192,1362087,24,11,45,6
csr,0.030439,17.628189,17.658628,11470.392499,0,10,1,1,16,32,330148095408,121192,121192,1362087,24,11,45,6
csr (gpu),0.028935,18.063791,18.092726,13593.590281,0,10,1,1,16,-1,330148095408,121192,121192,1362087,24,11,45,6
ell (serial),0.07256,18.143387,18.215947,9718.63032,0,10,1,1,16,-1,705000041472,121192,121192,1362087,24,11,45,6
ell,0.031964,17.48532,17.517284,23383.212736,0,10,1,1,16,32,705000041472,121192,121192,1362087,24,11,45,6
ell (gpu),0.032659,17.780643,17.813302,25620.784995,0,10,1,1,16,-1,705000041472,121192,121192,1362087,24,11,45,6
bcsr 1x1 (serial),0.061137,969.735261,969.796398,5400.67565,2387987,10,1,1,16,-1,330148095408,121192,121192,1362087,24,11,45,6
bcsr 1x1,0.025932,972.063532,972.089464,13653.996316,2387987,10,1,1,16,32,330148095408,121192,121192,1362087,24,11,45,6
bcsr 1x1 (gpu),0.028291,966.111278,966.139569,14444.072524,2387987,10,1,1,16,-1,330148095408,121192,121192,1362087,24,11,45,6
bcsr 2x2 (serial),0.069413,948.11834,948.187753,7459.433447,2387992,10,2,2,16,-1,517739010752,121192,121192,1362087,24,11,45,6
bcsr 2x2,0.031633,957.594488,957.626121,17137.675465,2387992,10,2,2,16,32,517739010752,121192,121192,1362087,24,11,45,6
bcsr 2x2 (gpu),0.03492,959.389126,959.424046,17602.490128,2387992,10,2,2,16,-1,517739010752,121192,121192,1362087,24,11,45,6
bcsr 4x4 (serial),0.136471,946.952436,947.088907,10281.481679,2387984,10,4,4,16,-1,1402751831808,121192,121192,1362087,24,11,45,6
bcsr 4x4,0.046245,947.498358,947.544603,31290.18504,2387984,10,4,4,16,32,1402751831808,121192,121192,1362087,24,11,45,6
bcsr 4x4 (gpu),0.041581,949.52573,949.567311,37037.673792,2387984,10,4,4,16,-1,1402751831808,121192,121192,1362087,24,11,45,6
bcsr 16x16 (serial),0.941534,945.863311,946.804845,14078.271717,2387983,10,16,16,16,-1,13255061839872,121192,121192,1362087,24,11,45,6
bcsr 16x16,0.144085,943.116435,943.26052,92491.032116,2387983,10,16,16,16,32,13255061839872,121192,121192,1362087,24,11,45,6
bcsr 16x16 (gpu),0.1056,969.192951,969.298551,130234.535444,2387983,10,16,16,16,-1,13255061839872,121192,121192,1362087,24,11,45,6
bell 1 (serial),0.055965,18.098912,18.154877,0.778942,1334311,10,1,1,16,-1,43586784,121192,121192,1362087,24,11,45,6
bell 1,0.025748,17.979799,18.005547,1.798295,1334311,10,1,1,16,32,43586784,121192,121192,1362087,24,11,45,6
bell 1 (gpu),0.032074,17.865186,17.89726,1.603172,1334311,10,1,1,16,-1,43586784,121192,121192,1362087,24,11,45,6
bell 2 (serial),0.060676,18.160394,18.22107,0.718453,1334311,10,2,2,16,-1,43586784,121192,121192,1362087,24,11,45,6
bell 2,0.028617,17.897936,17.926553,1.612803,1334311,10,2,2,16,32,43586784,121192,121192,1362087,24,11,45,6
bell 2 (gpu),0.031664,17.899605,17.931269,1.722288,1334311,10,2,2,16,-1,43586784,121192,121192,1362087,24,11,45,6
bell 4 (serial),0.062561,18.137773,18.200334,0.696783,1334311,10,4,4,16,-1,43586784,121192,121192,1362087,24,11,45,6
bell 4,0.030824,17.748011,17.778835,1.495563,1334311,10,4,4,16,32,43586784,121192,121192,1362087,24,11,45,6
bell 4 (gpu),0.033914,18.454984,18.488898,1.591826,1334311,10,4,4,16,-1,43586784,121192,121192,1362087,24,11,45,6
bell 16 (serial),0.06283,17.891445,17.954275,0.693783,1334311,10,16,16,16,-1,43586784,121192,121192,1362087,24,11,45,6
bell 16,0.030766,18.319537,18.350303,1.505484,1334311,10,16,16,16,32,43586784,121192,121192,1362087,24,11,45,6
bell 16 (gpu),0.02968,17.911972,17.941652,1.788433,1334311,10,16,16,16,-1,43586784,121192,121192,1362087,24,11,45,6
