Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo_transpose_omp_O2,10.692284,2.434843,13.127127,0.006557,0,10,1,1,16,32,70098912,36417,36417,2190591,184,60,753,27
coo_transpose_omp_omp_O2,2.454654,2.414423,4.869077,0.028568,0,10,1,1,16,32,70098912,36417,36417,2190591,184,60,753,27
csr_transpose_omp_O2,1.212672,2.410334,3.623006,131.686456,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
csr_transpose_omp_omp_O2,1.191617,2.458044,3.649661,134.051189,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
ell_transpose_omp_O2,11.011841,2.668673,13.680514,44.322474,0,10,1,1,16,32,488040823152,36417,36417,2190591,184,60,753,27
ell_transpose_omp_omp_O2,1.204585,2.703398,3.907983,405.397521,0,10,1,1,16,32,488040823152,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_O2,10.928945,107.395989,118.324934,17.188054,0,10,2,2,16,32,186933413712,36417,36417,2190591,184,60,753,27
bcsr_transpose_omp_omp_O2,1.194796,107.778448,108.973244,156.581416,0,10,2,2,16,32,186933413712,36417,36417,2190591,184,60,753,27
bell_transpose_omp_O2,10.624679,2.621936,13.246615,0.006598,2141161,10,2,2,16,32,70098912,36417,36417,2190591,184,60,753,27
bell_transpose_omp_omp_O2,1.197567,2.593936,3.791503,0.058583,2141161,10,2,2,16,32,70098912,36417,36417,2190591,184,60,753,27
