Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo,0.009215,2.367883,2.377098,93.386255,2772204,10,1,1,16,-1,70098912,36417,36417,2190591,184,60,753,27
csr,0.009144,2.378599,2.387743,198257.398737,0,10,1,1,16,-1,159549504894,36417,36417,2190591,184,60,753,27
ell,0.012426,2.647443,2.659869,211644.502066,0,10,1,1,16,-1,488040823152,36417,36417,2190591,184,60,753,27
bcsr 1x1,0.009071,109.934363,109.943434,157525.574158,0,10,1,1,16,-1,159549504894,36417,36417,2190591,184,60,753,27
bcsr 2x2,0.009109,107.986471,107.99558,235930.906136,0,10,2,2,16,-1,186933413712,36417,36417,2190591,184,60,753,27
bcsr 4x4,0.012776,106.914677,106.927453,177029.720292,0,10,4,4,16,-1,245955173952,36417,36417,2190591,184,60,753,27
bcsr 16x16,0.012373,107.466432,107.478805,225898.762583,0,10,16,16,16,-1,493714300416,36417,36417,2190591,184,60,753,27
bell 1,0.008093,2.601066,2.609159,90.568964,2141161,10,1,1,16,-1,70098912,36417,36417,2190591,184,60,753,27
bell 2,0.009666,2.60963,2.619297,72.768129,2141161,10,2,2,16,-1,70098912,36417,36417,2190591,184,60,753,27
bell 4,0.009002,2.628659,2.637661,78.248985,2141161,10,4,4,16,-1,70098912,36417,36417,2190591,184,60,753,27
bell 16,0.014858,2.656546,2.671404,57.324615,2141161,10,16,16,16,-1,70098912,36417,36417,2190591,184,60,753,27
