Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo -t 8,0.009377,2.335037,2.344414,90.613511,0,10,1,1,16,8,70098912,36417,36417,2190591,184,60,753,27
coo -t 16,0.008728,2.32542,2.334148,121.68616,0,10,1,1,16,16,70098912,36417,36417,2190591,184,60,753,27
coo -t 32,0.007777,2.322763,2.33054,123.288794,0,10,1,1,16,32,70098912,36417,36417,2190591,184,60,753,27
csr -t 8,0.010977,2.336066,2.347043,48923.473752,0,10,1,1,16,8,159549504894,36417,36417,2190591,184,60,753,27
csr -t 16,0.008398,2.324732,2.33313,89627.950996,0,10,1,1,16,16,159549504894,36417,36417,2190591,184,60,753,27
csr -t 32,0.009007,2.307775,2.316782,143676.910467,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
ell -t 8,0.020055,2.596255,2.61631,49043.718503,0,10,1,1,16,8,488040823152,36417,36417,2190591,184,60,753,27
ell -t 16,0.013508,2.471897,2.485405,103960.31676,0,10,1,1,16,16,488040823152,36417,36417,2190591,184,60,753,27
ell -t 32,0.020107,2.489026,2.509133,120240.698906,0,10,1,1,16,32,488040823152,36417,36417,2190591,184,60,753,27
bcsr 1x1 -t 8,0.012079,108.783896,108.795975,38446.460976,0,10,1,1,16,8,159549504894,36417,36417,2190591,184,60,753,27
bcsr 1x1 -t 16,0.009004,109.333379,109.342383,82155.002435,0,10,1,1,16,16,159549504894,36417,36417,2190591,184,60,753,27
bcsr 1x1 -t 32,0.009089,109.446642,109.455731,109492.229712,0,10,1,1,16,32,159549504894,36417,36417,2190591,184,60,753,27
bcsr 2x2 -t 8,0.007804,105.874006,105.88181,52204.066289,0,10,2,2,16,8,186933413712,36417,36417,2190591,184,60,753,27
bcsr 2x2 -t 16,0.009528,105.380169,105.389697,82147.016572,0,10,2,2,16,16,186933413712,36417,36417,2190591,184,60,753,27
bcsr 2x2 -t 32,0.009362,107.890699,107.900061,144303.997083,0,10,2,2,16,32,186933413712,36417,36417,2190591,184,60,753,27
bcsr 4x4 -t 8,0.014612,106.971306,106.985918,48307.41964,0,10,4,4,16,8,245955173952,36417,36417,2190591,184,60,753,27
bcsr 4x4 -t 16,0.010783,107.666024,107.676807,81270.614614,0,10,4,4,16,16,245955173952,36417,36417,2190591,184,60,753,27
bcsr 4x4 -t 32,0.019453,104.780659,104.800111,73877.717352,0,10,4,4,16,32,245955173952,36417,36417,2190591,184,60,753,27
bcsr 16x16 -t 8,0.015178,105.085916,105.101094,49807.293162,0,10,16,16,16,8,493714300416,36417,36417,2190591,184,60,753,27
bcsr 16x16 -t 16,0.015685,106.140382,106.156067,83256.07892,0,10,16,16,16,16,493714300416,36417,36417,2190591,184,60,753,27
bcsr 16x16 -t 32,0.020894,107.101369,107.122263,104055.325982,0,10,16,16,16,32,493714300416,36417,36417,2190591,184,60,753,27
bell 1 -t 8,0.009977,2.629982,2.639959,26.790354,2141161,10,1,1,16,8,70098912,36417,36417,2190591,184,60,753,27
bell 1 -t 16,0.007779,2.620755,2.628534,49.859043,2141161,10,1,1,16,16,70098912,36417,36417,2190591,184,60,753,27
bell 1 -t 32,0.008439,2.632175,2.640614,75.136895,2141161,10,1,1,16,32,70098912,36417,36417,2190591,184,60,753,27
bell 2 -t 8,0.008665,2.625964,2.63463,23.78586,2141161,10,2,2,16,8,70098912,36417,36417,2190591,184,60,753,27
bell 2 -t 16,0.007843,2.618925,2.626768,44.486025,2141161,10,2,2,16,16,70098912,36417,36417,2190591,184,60,753,27
bell 2 -t 32,0.007321,2.595651,2.602972,68.450394,2141161,10,2,2,16,32,70098912,36417,36417,2190591,184,60,753,27
bell 4 -t 8,0.009568,2.64406,2.653628,21.814951,2141161,10,4,4,16,8,70098912,36417,36417,2190591,184,60,753,27
bell 4 -t 16,0.009841,2.648827,2.658668,37.461881,2141161,10,4,4,16,16,70098912,36417,36417,2190591,184,60,753,27
bell 4 -t 32,0.008265,2.630718,2.638983,60.780368,2141161,10,4,4,16,32,70098912,36417,36417,2190591,184,60,753,27
bell 16 -t 8,0.01074,2.625738,2.636478,19.291067,2141161,10,16,16,16,8,70098912,36417,36417,2190591,184,60,753,27
bell 16 -t 16,0.008108,2.635087,2.643195,35.796101,2141161,10,16,16,16,16,70098912,36417,36417,2190591,184,60,753,27
bell 16 -t 32,0.00878,2.637773,2.646553,51.49741,2141161,10,16,16,16,32,70098912,36417,36417,2190591,184,60,753,27
