Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo (serial),0.017922,3.478864,3.496786,4.239938,0,10,1,1,16,-1,75968032,46835,46835,2374001,145,50,772,27
coo,0.015601,3.395151,3.410752,7.960906,0,10,1,1,16,32,75968032,46835,46835,2374001,145,50,772,27
coo (gpu),0.017421,3.355939,3.37336,8.745024,3078073,10,1,1,16,-1,75968032,46835,46835,2374001,145,50,772,27
csr (serial),0.018854,3.408547,3.427401,11797.694978,0,10,1,1,16,-1,222372673670,46835,46835,2374001,145,50,772,27
csr,0.022851,3.400688,3.423538,17575.436346,0,10,1,1,16,32,222372673670,46835,46835,2374001,145,50,772,27
csr (gpu),0.015092,3.35991,3.375002,25868.512025,0,10,1,1,16,-1,222372673670,46835,46835,2374001,145,50,772,27
ell (serial),0.051664,3.715252,3.766916,12312.801725,0,10,1,1,16,-1,636119995250,46835,46835,2374001,145,50,772,27
ell,0.032953,3.652017,3.684969,25091.879493,0,10,1,1,16,32,636119995250,46835,46835,2374001,145,50,772,27
ell (gpu),0.027328,3.678801,3.706129,30223.823237,0,10,1,1,16,-1,636119995250,46835,46835,2374001,145,50,772,27
bcsr 1x1 (serial),0.028374,170.599261,170.627635,7838.537715,0,10,1,1,16,-1,222372673670,46835,46835,2374001,145,50,772,27
bcsr 1x1,0.015702,171.976923,171.992625,35523.970151,0,10,1,1,16,32,222372673670,46835,46835,2374001,145,50,772,27
bcsr 1x1 (gpu),0.024036,173.44283,173.466867,15003.206511,0,10,1,1,16,-1,222372673670,46835,46835,2374001,145,50,772,27
bcsr 2x2 (serial),0.029125,168.291145,168.32027,9863.861301,0,10,2,2,16,-1,287196716160,46835,46835,2374001,145,50,772,27
bcsr 2x2,0.027998,166.967632,166.99563,11772.795128,0,10,2,2,16,32,287196716160,46835,46835,2374001,145,50,772,27
bcsr 2x2 (gpu),0.025709,169.897529,169.923239,15316.812049,0,10,2,2,16,-1,287196716160,46835,46835,2374001,145,50,772,27
bcsr 4x4 (serial),0.036168,168.584738,168.620906,11246.049414,0,10,4,4,16,-1,406688163040,46835,46835,2374001,145,50,772,27
bcsr 4x4,0.035884,170.004762,170.040646,12310.237303,0,10,4,4,16,32,406688163040,46835,46835,2374001,145,50,772,27
bcsr 4x4 (gpu),0.026928,169.954354,169.981282,20911.303662,0,10,4,4,16,-1,406688163040,46835,46835,2374001,145,50,772,27
bcsr 16x16 (serial),0.081224,170.722349,170.803573,11791.434892,0,10,16,16,16,-1,957694069760,46835,46835,2374001,145,50,772,27
bcsr 16x16,0.050213,170.442502,170.492715,20265.122237,0,10,16,16,16,32,957694069760,46835,46835,2374001,145,50,772,27
bcsr 16x16 (gpu),0.035594,170.244715,170.280309,32912.372199,0,10,16,16,16,-1,957694069760,46835,46835,2374001,145,50,772,27
bell 1 (serial),0.017658,3.708328,3.725986,4.302698,1703782,10,1,1,16,-1,75968032,46835,46835,2374001,145,50,772,27
bell 1,0.023904,3.626097,3.650001,3.854452,1703782,10,1,1,16,32,75968032,46835,46835,2374001,145,50,772,27
bell 1 (gpu),0.016962,3.576198,3.59316,7.653119,1703782,10,1,1,16,-1,75968032,46835,46835,2374001,145,50,772,27
bell 2 (serial),0.020164,3.70513,3.725294,3.767653,1703782,10,2,2,16,-1,75968032,46835,46835,2374001,145,50,772,27
bell 2,0.02367,3.625598,3.649268,3.656648,1703782,10,2,2,16,32,75968032,46835,46835,2374001,145,50,772,27
bell 2 (gpu),0.015739,3.666733,3.682472,10.338665,1703782,10,2,2,16,-1,75968032,46835,46835,2374001,145,50,772,27
bell 4 (serial),0.022494,3.662686,3.68518,3.377677,1703782,10,4,4,16,-1,75968032,46835,46835,2374001,145,50,772,27
bell 4,0.016758,3.740909,3.757667,8.83426,1703782,10,4,4,16,32,75968032,46835,46835,2374001,145,50,772,27
bell 4 (gpu),0.021266,3.653679,3.674945,5.034758,1703782,10,4,4,16,-1,75968032,46835,46835,2374001,145,50,772,27
bell 16 (serial),0.030591,3.668253,3.698844,2.705937,1703782,10,16,16,16,-1,75968032,46835,46835,2374001,145,50,772,27
bell 16,0.021345,3.748705,3.77005,4.892111,1703782,10,16,16,16,32,75968032,46835,46835,2374001,145,50,772,27
bell 16 (gpu),0.020886,3.680058,3.700944,5.079415,1703782,10,16,16,16,-1,75968032,46835,46835,2374001,145,50,772,27
