Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,K-Bound,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
coo -t 8,0.014073,3.381685,3.395758,11.305259,0,10,1,1,16,8,75968032,46835,46835,2374001,145,50,772,27
coo -t 16,0.016603,3.38739,3.403992,7.624384,0,10,1,1,16,16,75968032,46835,46835,2374001,145,50,772,27
coo -t 32,0.015601,3.395151,3.410752,7.960906,0,10,1,1,16,32,75968032,46835,46835,2374001,145,50,772,27
csr -t 8,0.022883,3.365974,3.388857,17269.605575,0,10,1,1,16,8,222372673670,46835,46835,2374001,145,50,772,27
csr -t 16,0.011801,3.363127,3.374928,42056.855945,0,10,1,1,16,16,222372673670,46835,46835,2374001,145,50,772,27
csr -t 32,0.022851,3.400688,3.423538,17575.436346,0,10,1,1,16,32,222372673670,46835,46835,2374001,145,50,772,27
ell -t 8,0.027599,3.681779,3.709377,29491.975536,0,10,1,1,16,8,636119995250,46835,46835,2374001,145,50,772,27
ell -t 16,0.024027,3.636093,3.66012,42960.899797,0,10,1,1,16,16,636119995250,46835,46835,2374001,145,50,772,27
ell -t 32,0.032953,3.652017,3.684969,25091.879493,0,10,1,1,16,32,636119995250,46835,46835,2374001,145,50,772,27
bcsr 1x1 -t 8,0.017156,172.893045,172.910201,20374.844393,0,10,1,1,16,8,222372673670,46835,46835,2374001,145,50,772,27
bcsr 1x1 -t 16,0.013217,172.763184,172.776401,32542.003894,0,10,1,1,16,16,222372673670,46835,46835,2374001,145,50,772,27
bcsr 1x1 -t 32,0.015702,171.976923,171.992625,35523.970151,0,10,1,1,16,32,222372673670,46835,46835,2374001,145,50,772,27
bcsr 2x2 -t 8,0.028671,169.865907,169.894578,14830.598139,0,10,2,2,16,8,287196716160,46835,46835,2374001,145,50,772,27
bcsr 2x2 -t 16,0.020515,165.802431,165.822946,25616.753228,0,10,2,2,16,16,287196716160,46835,46835,2374001,145,50,772,27
bcsr 2x2 -t 32,0.027998,166.967632,166.99563,11772.795128,0,10,2,2,16,32,287196716160,46835,46835,2374001,145,50,772,27
bcsr 4x4 -t 8,0.031215,166.086205,166.11742,16360.589365,0,10,4,4,16,8,406688163040,46835,46835,2374001,145,50,772,27
bcsr 4x4 -t 16,0.019286,169.547788,169.567075,33707.847919,0,10,4,4,16,16,406688163040,46835,46835,2374001,145,50,772,27
bcsr 4x4 -t 32,0.035884,170.004762,170.040646,12310.237303,0,10,4,4,16,32,406688163040,46835,46835,2374001,145,50,772,27
bcsr 16x16 -t 8,0.049809,171.161898,171.211708,22324.891004,0,10,16,16,16,8,957694069760,46835,46835,2374001,145,50,772,27
bcsr 16x16 -t 16,0.047407,168.903959,168.951366,25585.866129,0,10,16,16,16,16,957694069760,46835,46835,2374001,145,50,772,27
bcsr 16x16 -t 32,0.050213,170.442502,170.492715,20265.122237,0,10,16,16,16,32,957694069760,46835,46835,2374001,145,50,772,27
bell 1 -t 8,0.014861,3.698305,3.713166,8.360018,1703782,10,1,1,16,8,75968032,46835,46835,2374001,145,50,772,27
bell 1 -t 16,0.015117,3.673394,3.688511,12.098299,1703782,10,1,1,16,16,75968032,46835,46835,2374001,145,50,772,27
bell 1 -t 32,0.023904,3.626097,3.650001,3.854452,1703782,10,1,1,16,32,75968032,46835,46835,2374001,145,50,772,27
bell 2 -t 8,0.015047,3.61188,3.626927,8.342718,1703782,10,2,2,16,8,75968032,46835,46835,2374001,145,50,772,27
bell 2 -t 16,0.012283,3.61392,3.626203,13.174345,1703782,10,2,2,16,16,75968032,46835,46835,2374001,145,50,772,27
bell 2 -t 32,0.02367,3.625598,3.649268,3.656648,1703782,10,2,2,16,32,75968032,46835,46835,2374001,145,50,772,27
bell 4 -t 8,0.016877,3.706973,3.72385,6.54879,1703782,10,4,4,16,8,75968032,46835,46835,2374001,145,50,772,27
bell 4 -t 16,0.013431,3.722327,3.735758,10.254741,1703782,10,4,4,16,16,75968032,46835,46835,2374001,145,50,772,27
bell 4 -t 32,0.016758,3.740909,3.757667,8.83426,1703782,10,4,4,16,32,75968032,46835,46835,2374001,145,50,772,27
bell 16 -t 8,0.024132,3.709039,3.733171,4.209365,1703782,10,16,16,16,8,75968032,46835,46835,2374001,145,50,772,27
bell 16 -t 16,0.014785,3.764414,3.779199,8.731502,1703782,10,16,16,16,16,75968032,46835,46835,2374001,145,50,772,27
bell 16 -t 32,0.021345,3.748705,3.77005,4.892111,1703782,10,16,16,16,32,75968032,46835,46835,2374001,145,50,772,27
