Name,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,Threads,Rows,Cols,NNZ,Max Cols,Avg Cols
csr_serial,69.866098,81.700517,151.566615,0,1,1,1,-1,62451,62451,2034917,0,0
csr_omp -t cant,73.951820,40.600136,114.551956,0,1,1,1,1,62451,62451,2034917,0,0
csr_omp -t cant,42.696953,40.649720,83.346673,0,1,1,1,2,62451,62451,2034917,0,0
csr_omp -t cant,30.388980,43.983573,74.372553,0,1,1,1,4,62451,62451,2034917,0,0
csr_omp -t cant,20.325821,41.214710,61.540531,0,1,1,1,8,62451,62451,2034917,0,0
csr_omp -t cant,17.879757,41.248869,59.128626,0,1,1,1,16,62451,62451,2034917,0,0
csr_omp -t cant,18.121211,41.269386,59.390597,0,1,1,1,32,62451,62451,2034917,0,0
ell_serial,85.379387,41.744315,127.123702,0,1,1,1,-1,62451,62451,2034917,40,32
ell_omp -t 1,90.502247,41.025178,131.527425,0,1,1,1,1,62451,62451,2034917,40,32
ell_omp -t 2,66.894764,41.050152,107.944916,0,1,1,1,2,62451,62451,2034917,40,32
ell_omp -t 4,38.227030,41.484950,79.711980,0,1,1,1,4,62451,62451,2034917,40,32
ell_omp -t 8,22.961668,41.596182,64.557850,0,1,1,1,8,62451,62451,2034917,40,32
ell_omp -t 16,19.247349,41.591915,60.839264,0,1,1,1,16,62451,62451,2034917,40,32
ell_omp -t 32,18.853937,41.685663,60.539600,0,1,1,1,32,62451,62451,2034917,40,32
bcsr_serial 1 x 1,21.969804,334.680990,356.650794,0,1,1,1,-1,62451,62451,2034917,0,0
bcsr_serial 2 x 2,28.769992,332.769413,361.539405,0,1,2,2,-1,62451,62451,2034917,0,0
bcsr_serial 4 x 4,39.183055,340.123364,379.306419,0,1,4,4,-1,62451,62451,2034917,0,0
bcsr_serial 8 x 8,60.137550,335.558903,395.696453,0,1,8,8,-1,62451,62451,2034917,0,0
bcsr_serial 16 x 16,83.838447,331.030845,414.869292,0,1,16,16,-1,62451,62451,2034917,0,0
bcsr_serial 32 x 32,114.079777,330.875017,444.954794,0,1,32,32,-1,62451,62451,2034917,0,0
bcsr_omp 1 x 1 -t 1,22.891665,336.914975,359.806640,0,1,1,1,1,62451,62451,2034917,0,0
bcsr_omp 1 x 1 -t 2,12.161146,336.480591,348.641737,0,1,1,1,2,62451,62451,2034917,0,0
bcsr_omp 1 x 1 -t 4,6.382839,338.743582,345.126421,0,1,1,1,4,62451,62451,2034917,0,0
