Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_omp -t 1024x8,0.008059,0.020196,0.028255,2.081792,3072,1,1,1,1,16777216,1024,1024,8192,8,8,0,0
csr_omp -t 1024x8,0.005183,0.018383,0.023566,3.236982,3072,1,1,1,2,16777216,1024,1024,8192,8,8,0,0
csr_omp -t 1024x8,0.005989,0.020734,0.026723,2.801415,3072,1,1,1,4,16777216,1024,1024,8192,8,8,0,0
csr_omp -t 1024x8,0.005230,0.015963,0.021193,3.207911,3072,1,1,1,8,16777216,1024,1024,8192,8,8,0,0
csr_omp -t 1024x8,0.005118,0.021351,0.026469,3.278149,3072,1,1,1,16,16777216,1024,1024,8192,8,8,0,0
csr_omp -t 1024x8,0.013819,0.022817,0.036636,1.214071,3072,1,1,1,32,16777216,1024,1024,8192,8,8,0,0
csr_omp_gpu,0.092308,0.014312,0.106620,0.181752,3072,1,1,1,-1,16777216,1024,1024,8192,8,8,0,0
bcsr_omp 1 x 1 -t 1,0.005410,0.069303,0.074713,3.092089,28672,1,1,1,1,16728064,1024,1024,8192,8,8,0,0
bcsr_omp 1 x 1 -t 2,0.005384,0.074208,0.079592,3.107014,28672,1,1,1,2,16728064,1024,1024,8192,8,8,0,0
bcsr_omp 1 x 1 -t 4,0.005291,0.097316,0.102607,3.161616,28672,1,1,1,4,16728064,1024,1024,8192,8,8,0,0
bcsr_omp 1 x 1 -t 8,0.004823,0.098915,0.103738,3.468416,28672,1,1,1,8,16728064,1024,1024,8192,8,8,0,0
bcsr_omp 1 x 1 -t 16,0.005131,0.096796,0.101927,3.260192,28672,1,1,1,16,16728064,1024,1024,8192,8,8,0,0
bcsr_omp 1 x 1 -t 32,0.013927,0.093183,0.107110,1.201126,28672,1,1,1,32,16728064,1024,1024,8192,8,8,0,0
bcsr_omp 2 x 2 -t 1,0.011469,0.093121,0.104590,5.776385,28672,1,2,2,1,66248704,1024,1024,8192,8,8,0,0
bcsr_omp 2 x 2 -t 2,0.010929,0.072485,0.083414,6.061675,28672,1,2,2,2,66248704,1024,1024,8192,8,8,0,0
bcsr_omp 2 x 2 -t 4,0.008036,0.097893,0.105929,8.244094,28672,1,2,2,4,66248704,1024,1024,8192,8,8,0,0
bcsr_omp 2 x 2 -t 8,0.006541,0.063535,0.070076,10.128201,28672,1,2,2,8,66248704,1024,1024,8192,8,8,0,0
bcsr_omp 2 x 2 -t 16,0.005751,0.098709,0.104460,11.519244,28672,1,2,2,16,66248704,1024,1024,8192,8,8,0,0
bcsr_omp 2 x 2 -t 32,0.025440,0.065068,0.090508,2.604118,28672,1,2,2,32,66248704,1024,1024,8192,8,8,0,0
bcsr_omp 4 x 4 -t 1,0.038145,0.073140,0.111285,6.638633,28672,1,4,4,1,253231104,1024,1024,8192,8,8,0,0
bcsr_omp 4 x 4 -t 2,0.021548,0.076402,0.097950,11.751936,28672,1,4,4,2,253231104,1024,1024,8192,8,8,0,0
bcsr_omp 4 x 4 -t 4,0.017514,0.111349,0.128863,14.458790,28672,1,4,4,4,253231104,1024,1024,8192,8,8,0,0
bcsr_omp 4 x 4 -t 8,0.012109,0.107695,0.119804,20.912564,28672,1,4,4,8,253231104,1024,1024,8192,8,8,0,0
bcsr_omp 4 x 4 -t 16,0.008452,0.071812,0.080264,29.961304,28672,1,4,4,16,253231104,1024,1024,8192,8,8,0,0
