Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_serial,0.003103,0.014935,0.018038,5.406742,0,1,1,1,-1,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.006996,0.014245,0.021241,2.398144,0,1,1,1,1,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.007673,0.015297,0.022970,2.186519,0,1,1,1,2,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.005737,0.014772,0.020509,2.924355,0,1,1,1,4,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.004899,0.013637,0.018536,3.424603,0,1,1,1,8,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.005447,0.017882,0.023329,3.079999,0,1,1,1,16,16777216,512,512,16384,32,32,0,0
csr_omp -t 512x32,0.022001,0.010993,0.032994,0.762565,0,1,1,1,32,16777216,512,512,16384,32,32,0,0
csr_omp_gpu,0.120464,0.011868,0.132332,0.139272,0,1,1,1,-1,16777216,512,512,16384,32,32,0,0
bcsr_serial 1 x 1,0.001874,0.038878,0.040752,8.673539,173568,1,1,1,-1,16253952,512,512,16384,32,32,0,0
bcsr_serial 2 x 2,0.006075,0.043957,0.050032,9.762454,173568,1,2,2,-1,59305984,512,512,16384,32,32,0,0
bcsr_serial 4 x 4,0.017577,0.048038,0.065615,9.630775,173568,1,4,4,-1,169279488,512,512,16384,32,32,0,0
bcsr_serial 8 x 8,0.025904,0.046057,0.071961,10.150210,173568,1,8,8,-1,262930432,512,512,16384,32,32,0,0
bcsr_serial 16 x 16,0.026284,0.043072,0.069356,10.212892,173568,1,16,16,-1,268435456,512,512,16384,32,32,0,0
bcsr_serial 32 x 32,0.026379,0.041994,0.068373,10.176062,173568,1,32,32,-1,268435456,512,512,16384,32,32,0,0
bcsr_omp 1 x 1 -t 1,0.006532,0.039254,0.045786,2.488375,173568,1,1,1,1,16253952,512,512,16384,32,32,0,0
bcsr_omp 1 x 1 -t 2,0.006290,0.036552,0.042842,2.584111,173568,1,1,1,2,16253952,512,512,16384,32,32,0,0
bcsr_omp 1 x 1 -t 4,0.004706,0.040793,0.045499,3.453948,173568,1,1,1,4,16253952,512,512,16384,32,32,0,0
bcsr_omp 1 x 1 -t 8,0.004886,0.040143,0.045029,3.326535,173568,1,1,1,8,16253952,512,512,16384,32,32,0,0
bcsr_omp 1 x 1 -t 16,0.005269,0.038349,0.043618,3.084937,173568,1,1,1,16,16253952,512,512,16384,32,32,0,0
bcsr_omp 1 x 1 -t 32,0.014100,0.040881,0.054981,1.152776,173568,1,1,1,32,16253952,512,512,16384,32,32,0,0
bcsr_omp 2 x 2 -t 1,0.011020,0.036963,0.047983,5.381695,173568,1,2,2,1,59305984,512,512,16384,32,32,0,0
bcsr_omp 2 x 2 -t 2,0.011227,0.043106,0.054333,5.282381,173568,1,2,2,2,59305984,512,512,16384,32,32,0,0
bcsr_omp 2 x 2 -t 4,0.007961,0.040185,0.048146,7.449532,173568,1,2,2,4,59305984,512,512,16384,32,32,0,0
bcsr_omp 2 x 2 -t 8,0.006190,0.039742,0.045932,9.581208,173568,1,2,2,8,59305984,512,512,16384,32,32,0,0
bcsr_omp 2 x 2 -t 16,0.005340,0.039810,0.045150,11.105783,173568,1,2,2,16,59305984,512,512,16384,32,32,0,0
bcsr_omp 2 x 2 -t 32,0.013857,0.040429,0.054286,4.279818,173568,1,2,2,32,59305984,512,512,16384,32,32,0,0
bcsr_omp 4 x 4 -t 1,0.027331,0.042761,0.070092,6.193655,173568,1,4,4,1,169279488,512,512,16384,32,32,0,0
bcsr_omp 4 x 4 -t 2,0.019048,0.047198,0.066246,8.887007,173568,1,4,4,2,169279488,512,512,16384,32,32,0,0
bcsr_omp 4 x 4 -t 4,0.014680,0.043875,0.058555,11.531185,173568,1,4,4,4,169279488,512,512,16384,32,32,0,0
bcsr_omp 4 x 4 -t 8,0.009540,0.045340,0.054880,17.744030,173568,1,4,4,8,169279488,512,512,16384,32,32,0,0
bcsr_omp 4 x 4 -t 16,0.007195,0.046476,0.053671,23.527392,173568,1,4,4,16,169279488,512,512,16384,32,32,0,0
bcsr_omp 4 x 4 -t 32,0.014497,0.045239,0.059736,11.676830,173568,1,4,4,32,169279488,512,512,16384,32,32,0,0
bcsr_omp 8 x 8 -t 1,0.037429,0.041356,0.078785,7.024761,173568,1,8,8,1,262930432,512,512,16384,32,32,0,0
bcsr_omp 8 x 8 -t 2,0.024099,0.044655,0.068754,10.910379,173568,1,8,8,2,262930432,512,512,16384,32,32,0,0
bcsr_omp 8 x 8 -t 4,0.017503,0.047933,0.065436,15.022001,173568,1,8,8,4,262930432,512,512,16384,32,32,0,0
bcsr_omp 8 x 8 -t 8,0.012562,0.045302,0.057864,20.930558,173568,1,8,8,8,262930432,512,512,16384,32,32,0,0
bcsr_omp 8 x 8 -t 16,0.008989,0.043194,0.052183,29.249931,173568,1,8,8,16,262930432,512,512,16384,32,32,0,0
bcsr_omp 8 x 8 -t 32,0.015271,0.041874,0.057145,17.217688,173568,1,8,8,32,262930432,512,512,16384,32,32,0,0
bcsr_omp 16 x 16 -t 1,0.038104,0.038178,0.076282,7.044844,173568,1,16,16,1,268435456,512,512,16384,32,32,0,0
bcsr_omp 16 x 16 -t 2,0.020888,0.041362,0.062250,12.851125,173568,1,16,16,2,268435456,512,512,16384,32,32,0,0
bcsr_omp 16 x 16 -t 4,0.017095,0.042888,0.059983,15.702490,173568,1,16,16,4,268435456,512,512,16384,32,32,0,0
bcsr_omp 16 x 16 -t 8,0.012409,0.045239,0.057648,21.632369,173568,1,16,16,8,268435456,512,512,16384,32,32,0,0
bcsr_omp 16 x 16 -t 16,0.008732,0.038136,0.046868,30.741294,173568,1,16,16,16,268435456,512,512,16384,32,32,0,0
bcsr_omp 16 x 16 -t 32,0.015390,0.038205,0.053595,17.442291,173568,1,16,16,32,268435456,512,512,16384,32,32,0,0
bcsr_omp 32 x 32 -t 1,0.036698,0.037056,0.073754,7.314743,173568,1,32,32,1,268435456,512,512,16384,32,32,0,0
bcsr_omp 32 x 32 -t 2,0.025261,0.041767,0.067028,10.626509,173568,1,32,32,2,268435456,512,512,16384,32,32,0,0
bcsr_omp 32 x 32 -t 4,0.018453,0.042416,0.060869,14.547074,173568,1,32,32,4,268435456,512,512,16384,32,32,0,0
bcsr_omp 32 x 32 -t 8,0.011513,0.043835,0.055348,23.315867,173568,1,32,32,8,268435456,512,512,16384,32,32,0,0
bcsr_omp 32 x 32 -t 16,0.009025,0.040534,0.049559,29.743222,173568,1,32,32,16,268435456,512,512,16384,32,32,0,0
bcsr_omp 32 x 32 -t 32,0.015182,0.045087,0.060269,17.681144,173568,1,32,32,32,268435456,512,512,16384,32,32,0,0
bcsr_omp_gpu 1 x 1,0.119757,0.036366,0.156123,0.135725,173568,1,1,1,-1,16253952,512,512,16384,32,32,0,0
bcsr_omp_gpu 2 x 2,0.159156,0.038770,0.197926,0.372628,173568,1,2,2,-1,59305984,512,512,16384,32,32,0,0
bcsr_omp_gpu 4 x 4,0.354879,0.043442,0.398321,0.477006,173568,1,4,4,-1,169279488,512,512,16384,32,32,0,0
bcsr_omp_gpu 8 x 8,0.551486,0.029771,0.581257,0.476767,173568,1,8,8,-1,262930432,512,512,16384,32,32,0,0
bcsr_omp_gpu 16 x 16,0.825756,0.027437,0.853193,0.325078,173568,1,16,16,-1,268435456,512,512,16384,32,32,0,0
bcsr_omp_gpu 32 x 32,1.318998,0.026586,1.345584,0.203515,173568,1,32,32,-1,268435456,512,512,16384,32,32,0,0
