Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,FOP Count,Rows,Cols,NNZ,Max Cols,Avg Cols,Variance,Std Deviation
csr_omp -t bcsstk17,1.131185,1.369836,2.501021,4.264938,0,1,1,1,1,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,0.629523,1.375009,2.004532,7.663633,0,1,1,1,2,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,0.349434,1.479092,1.828526,13.806427,0,1,1,1,4,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,0.210170,1.378784,1.588954,22.954908,0,1,1,1,8,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,0.148126,1.373143,1.521269,32.569770,0,1,1,1,16,4824433776,10974,10974,219812,108,20,79,8
csr_omp -t bcsstk17,0.168201,1.372032,1.540233,28.682556,0,1,1,1,32,4824433776,10974,10974,219812,108,20,79,8
csr_omp_gpu,1.752926,1.403730,3.156656,2.752217,0,1,1,1,-1,4824433776,10974,10974,219812,108,20,79,8
ell_omp -t 1,5.111593,1.418483,6.530076,5.088941,0,1,1,1,1,26012594016,10974,10974,219812,108,20,79,8
ell_omp -t 2,2.608541,1.421334,4.029875,9.972086,0,1,1,1,2,26012594016,10974,10974,219812,108,20,79,8
ell_omp -t 4,1.295049,1.515762,2.810811,20.086186,0,1,1,1,4,26012594016,10974,10974,219812,108,20,79,8
ell_omp -t 8,0.708475,1.441542,2.150017,36.716313,0,1,1,1,8,26012594016,10974,10974,219812,108,20,79,8
ell_omp -t 16,0.415656,1.431800,1.847456,62.582047,0,1,1,1,16,26012594016,10974,10974,219812,108,20,79,8
ell_omp -t 32,0.282108,1.425527,1.707635,92.207983,0,1,1,1,32,26012594016,10974,10974,219812,108,20,79,8
ell_omp_gpu,3.305993,1.543296,4.849289,7.868315,0,1,1,1,-1,26012594016,10974,10974,219812,108,20,79,8
